"skin","state","target","source","mirror","status","reason"
"assassin_default","walk","walk_up_right.png","walk_up_left.png","True","mirrored","candidate mirror from up_left for up_right"
"assassin_default","walk","walk_down_right.png","walk_down_left.png","False","copied","manual-check: current-down-left-is-down-right"
"assassin_default","walk","walk_down_left.png","walk_up_right.png","False","copied","manual-check: current-up-right-is-down-left"
"assassin_default","idle","idle_up_right.png","idle_up_left.png","True","mirrored","candidate mirror from up_left for up_right"
"assassin_default","idle","idle_down_left.png","idle_up_right.png","False","copied","manual-check: current-up-right-is-down-left"
"priest_default","walk","walk_right.png","walk_left.png","True","mirrored","manual-check: current-right-is-left; mirror-left-to-right"
"priest_default","walk","walk_down_left.png","walk_down_right.png","False","copied","candidate from current down-right; review because paired down-right needs regen"
"priest_default","idle","idle_right.png","idle_left.png","True","mirrored","manual-check: current-right-is-left; mirror-left-to-right"
"priest_default","idle","idle_down_left.png","idle_down_right.png","False","copied","candidate from current down-right; review because paired down-right needs regen"
"warrior_default","walk","walk_up_right.png","walk_up_left.png","True","mirrored","candidate mirror from up_left for missing true up-right"
"warrior_default","walk","walk_down_right.png","walk_up_right.png","True","mirrored","manual-check: mirror current-up-right down-left into down-right"
"warrior_default","walk","walk_down_left.png","walk_up_right.png","False","copied","manual-check: current-up-right-is-down-left"
"warrior_default","idle","idle_up_right.png","idle_up_left.png","True","mirrored","candidate mirror from up_left for missing true up-right"
"warrior_default","idle","idle_down_right.png","idle_up_right.png","True","mirrored","manual-check: mirror current-up-right down-left into down-right"
"warrior_default","idle","idle_down_left.png","idle_up_right.png","False","copied","manual-check: current-up-right-is-down-left"
"witch_default","walk","walk_right.png","walk_left.png","True","mirrored","manual-check: current-right-is-left; mirror-left-to-right"
"witch_default","walk","walk_down_right.png","walk_down_left.png","False","copied","manual-check: current-down-left-is-down-right"
"witch_default","idle","idle_right.png","idle_left.png","True","mirrored","manual-check: current-right-is-left; mirror-left-to-right"
"witch_default","idle","idle_down_right.png","idle_down_left.png","False","copied","manual-check: current-down-left-is-down-right"
