"skin","state","target","source_state","source_direction","source","mirror","status","reason"
"priest_default","walk","walk_up_right.png","walk","up","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_up placeholder"
"priest_default","walk","walk_up_left.png","walk","up","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_up placeholder"
"priest_default","idle","idle_up_right.png","idle","up","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_up placeholder"
"priest_default","idle","idle_up_left.png","idle","up","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_up placeholder"
"witch_default","walk","walk_up_right.png","walk","up","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_up placeholder"
"witch_default","walk","walk_down.png","walk","down_right","walk_down_right.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_down_right placeholder"
"witch_default","walk","walk_up_left.png","walk","up","walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_up placeholder"
"witch_default","idle","idle_up_right.png","idle","up","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_up placeholder"
"witch_default","idle","idle_down.png","idle","down_right","idle_down_right.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_down_right placeholder"
"witch_default","idle","idle_up_left.png","idle","up","idle_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original idle_up placeholder"
