"skin","state","target","source_state","source_direction","source","source_path","mirror","status","reason"
"assassin_default","walk","walk_up_right.png","walk","up_left","walk_up_left.png","public/assets/art/player/assassin_default/walk_up_left.png","True","mirrored","mirror original walk_up_left for up_right"
"assassin_default","walk","walk_down_right.png","walk","up_right","walk_up_right.png","public/assets/art/player/assassin_default/walk_up_right.png","True","mirrored","v6 manual-check correction: mirror original walk_up_right for down_right"
"assassin_default","walk","walk_down_left.png","walk","up_right","walk_up_right.png","public/assets/art/player/assassin_default/walk_up_right.png","False","copied","manual-check: original walk_up_right is down_left"
"assassin_default","idle","idle_up_right.png","idle","up_left","idle_up_left.png","public/assets/art/player/assassin_default/idle_up_left.png","True","mirrored","mirror original idle_up_left for up_right"
"assassin_default","idle","idle_down_right.png","idle","up_right","idle_up_right.png","public/assets/art/player/assassin_default/idle_up_right.png","True","mirrored","mirror original idle_up_right because it is down_left"
"assassin_default","idle","idle_down_left.png","idle","up_right","idle_up_right.png","public/assets/art/player/assassin_default/idle_up_right.png","False","copied","manual-check: original idle_up_right is down_left"
"priest_default","walk","walk_up_right.png","walk","up","walk_up.png","public/assets/art/player/priest_default/walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_up placeholder"
"priest_default","walk","walk_right.png","walk","left","walk_left.png","public/assets/art/player/priest_default/walk_left.png","True","mirrored","manual-check: original right is left; mirror original left"
"priest_default","walk","walk_down_right.png","walk","down_right","walk_down_right.png","public/assets/art/player/priest_default/walk_down_right.png","True","mirrored","v6 manual-check correction: mirror original walk_down_right for down_right"
"priest_default","walk","walk_down_left.png","walk","down_right","walk_down_right.png","public/assets/art/player/priest_default/walk_down_right.png","False","copied","original walk_down_right is best down_left candidate"
"priest_default","walk","walk_up_left.png","walk","up","walk_up.png","public/assets/art/player/priest_default/walk_up.png","False","needs_regen_temp_adjacent","needs regeneration; temporary original walk_up placeholder"
