candidateId,strategyVariantId,runs,scenarioCount,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageTaken,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000019_8a6d4fc4,centered-gaussian,10,10,815.5,819.5,797.2,829.2,1,60,3,33.6,3.9,12.7691,790.8154,2852.6562
general_top1-phased_4dd05e52,top1-phased,10,10,815.5,819.5,797.2,829.2,1,60,3,33.6,3.9,12.7691,790.8154,2852.6562
centered_candidate_000003_7a7cd404,centered-gaussian,10,10,809,813.5,793,845.1,1,60,2.9,33.8,2.8,41.2916,772.3542,2836.2917
centered_candidate_000005_4b8ae377,centered-gaussian,10,10,804.8,805.5,778.1,831.2,1,60,3,32.6,1.5,21.9399,767.13,2822.642
centered_candidate_000018_51488932,centered-gaussian,10,10,801,810.5,777.2,824.2,1,60,2.9,33.2,2.8,30.3743,762.0128,2816.3351
general_topN-median-phased_563f3044,topN-median-phased,10,10,804.7,815,765.9,828.5,1,60,2.9,33.4,3.2,39.9551,745.9225,2810.529
general_top10-average-phased_971cc62d,top10-average-phased,10,10,793.8,801.5,771.5,820.6,1,60,2.9,32.7,4.4,34.3272,754.3364,2796.0846
centered_candidate_000014_8bc3b004,centered-gaussian,10,10,798.2,801,771.4,825.8,1,60,3,32.6,8,23.2628,759.7686,2795.1674
centered_candidate_000017_29fc0d3b,centered-gaussian,10,10,792.4,818,756.7,829.4,1,60,2.9,32.6,4.3,66.6231,723.3884,2784.8354
general_top1-phased_e8a6d3ee,top1-phased,10,10,794.4,809.5,744,827.9,1,60,2.9,32.7,4.9,42.2024,722.8988,2776.1095
search_candidate_000016_7e36fcb7,random-phased,10,10,794.4,809.5,744,827.9,1,60,2.9,32.7,4.9,42.2024,722.8988,2776.1095
general_top5-average-phased_4be118c4,top5-average-phased,10,10,784.3,787,761,818.9,1,60,2.9,31.9,3.1,39.5147,741.2427,2772.4971
general_top10-median-phased_fa8fb39b,top10-median-phased,10,10,784.3,800,719.6,821.6,1,60,2.8,32.6,2,50.1579,694.5211,2745.9484
centered_candidate_000015_3a1a1f72,centered-gaussian,10,10,781.2,798,722.2,822.5,1,60,2.6,33.8,2.5,42.607,700.8965,2744.4386
centered_candidate_000002_83ab7540,centered-gaussian,10,10,790.7,802,704.3,829.5,1,60,2.8,33.1,2.8,46.6949,680.9526,2740.201
search_candidate_000019_a127dc42,random-phased,10,10,782,805,706.6,832.2,1,60,2.7,32.9,0.4,58.9881,677.1059,2737.1824
general_top10-median-phased_165853d0,top10-median-phased,10,10,785.4,802.5,704.3,826.2,1,60,2.8,32.6,2.3,48.3595,680.1203,2735.8181
centered_candidate_000008_76d4f25b,centered-gaussian,10,10,775.7,802.5,678.1,831.6,1,60,2.7,32.5,1.2,63.5123,646.3439,2704.3275
general_topN-median-phased_8649f3fc,topN-median-phased,10,10,774.9,787,689.3,846.6,1,60,2.7,32.8,4.9,58.8429,659.8785,2698.2714
search_candidate_000003_50d0c76f,random-phased,10,10,760.8,744.5,717.5,824,1,60,2.3,34.5,0.5,42.2961,696.352,2697.5908
centered_candidate_000012_675e392d,centered-gaussian,10,10,768.6,786,687.2,835,1,60,2.7,32.2,4,54.4173,659.9914,2692.4765
search_candidate_000013_9d1ce939,random-phased,10,10,768.9,792,693.6,807.3,1,60,2.8,32.1,9.6,47.7922,669.7039,2691.0216
centered_candidate_000001_336983a5,centered-gaussian,10,10,784.7,806,664.1,835.8,1,60,2.8,33.1,7.5,67.344,630.428,2690.5112
centered_candidate_000013_8cfa058e,centered-gaussian,10,10,764.6,791.5,681.4,827,1,60,2.6,32.5,2.9,59.1611,651.8194,2687.8378
general_top5-average-phased_66105d40,top5-average-phased,10,10,759.3,763,699.4,830.6,1,60,2.5,32.8,1.4,62.6148,668.0926,2684.997
centered_candidate_000020_1cdcfb00,centered-gaussian,10,10,763.7,801,670.6,830.8,1,60,2.6,32.2,1.7,64.4671,638.3664,2684.3866
centered_candidate_000010_a5975d9b,centered-gaussian,10,10,761.6,775,694.1,816.1,1,60,2.7,31.9,6.6,52.4275,667.8863,2680.6945
search_candidate_000014_87a69ca2,random-phased,10,10,763.8,768.5,683.5,840.5,1,60,2.5,33.2,1.1,67.3629,649.8186,2679.1774
centered_candidate_000004_cc453500,centered-gaussian,10,10,758.4,789.5,680.1,818.8,1,60,2.6,32.3,5.3,64.7012,647.7494,2673.6898
general_top10-average-phased_f7da83b3,top10-average-phased,10,10,754.4,758.5,677.9,818,1,60,2.5,32.3,0.9,61.7644,647.0178,2661.8171
centered_candidate_000007_bd52f427,centered-gaussian,10,10,755.4,787.5,675,811.3,1,60,2.7,31.7,8.5,65.0664,642.4668,2659.1367
search_candidate_000006_b20536d9,random-phased,10,10,742.1,771.5,664,804.5,1,60,2.6,30.6,0.3,67.1066,630.4467,2645.0287
search_candidate_000007_20c65b2b,random-phased,10,10,746.5,724,687.4,817.4,1,60,2.4,32.8,2,55.8341,659.4829,2643.2532
centered_candidate_000016_1ad267b9,centered-gaussian,10,10,749.4,775.5,659.7,802.1,1,60,2.6,31.7,7.9,56.1929,631.6036,2637.8714
centered_candidate_000006_d28e54d8,centered-gaussian,10,10,762,793,632.7,816.2,1,60,2.7,31.9,6.6,73.2735,596.0633,2636.8053
centered_candidate_000009_641c65a8,centered-gaussian,10,10,746.1,755.5,665.1,821.6,1,60,2.5,32,5.3,64.11,633.045,2632.508
search_candidate_000015_a98e37fd,random-phased,10,10,728.9,707,699.8,787.4,1,60,2.2,32.9,1.5,43.9419,677.8291,2630.4516
centered_candidate_000011_0db90a6a,centered-gaussian,10,10,756,803.5,637.7,810.4,1,60,2.7,31.9,14.9,76.5114,599.4443,2622.8077
search_candidate_000002_ad903963,random-phased,10,10,726.7,711.5,674.6,807,1,60,2.3,31.8,0.8,58.4945,645.3527,2608.8311
search_candidate_000020_9f3d47df,random-phased,10,10,709.6,708,683.5,729.8,1,60,2,32.9,3,21.2518,672.8741,2600.1496
search_candidate_000011_4b596e52,random-phased,10,10,717.1,720,668.5,744.2,1,60,2.1,32.9,4.7,35.7224,650.6388,2595.3555
search_candidate_000009_c698e4e0,random-phased,10,10,716.6,713.5,684.9,744.3,1,60,2.1,33.8,11,32.9976,668.4012,2592.6705
search_candidate_000010_b23dec28,random-phased,10,10,701.2,697.5,679.3,740.2,1,60,2,32.1,0,22.04,668.28,2588.982
search_candidate_000012_ff95145e,random-phased,10,10,718.7,703,672.4,800.4,1,60,2.2,32.7,7.5,47.5921,648.6039,2583.6016
search_candidate_000008_73d1884e,random-phased,10,10,713.3,698.5,676.6,798.3,1,60,2.2,32.3,6.7,46.2538,653.4731,2581.1792
search_candidate_000018_b5c4b760,random-phased,10,10,704.9,697,683.6,720.5,1,60,2.1,32.5,8,26.7,670.25,2578.94
search_candidate_000001_fc304f80,random-phased,10,10,695.5,700.5,674.5,719.5,1,60,2,32.4,6,25.6642,661.6679,2568.2172
search_candidate_000004_21875a1f,random-phased,10,10,722,712.5,640.7,825.1,1,60,2.4,31.1,5.6,77.0052,602.1974,2564.209
search_candidate_000017_a6bda94c,random-phased,10,10,699.5,689.5,660.7,747.2,1,60,2.1,31.2,0.9,40.7241,640.338,2562.8652
search_candidate_000005_e471c118,random-phased,10,10,688.8,684.5,661.8,706.9,1,60,2,32.4,10.4,18.6,652.5,2535.97
