candidateId,strategyVariantId,runs,scenarioCount,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,scoreStdDev,consistencyScore,generalFitnessScore
general_top1-phased_a12eba11,top1-phased,240,240,1041.6667,1041.5,649.8,1491.4,0.9792,119.3144,3.1708,43.7292,43.4458,0.325,0.9667,0.2408,6070.5833,322.3218,488.6391,-3073.6244
search_candidate_000162_439d68a4,random-phased,240,240,1041.6667,1041.5,649.8,1491.4,0.9792,119.3144,3.1708,43.7292,43.4458,0.325,0.9667,0.2408,6070.5833,322.3218,488.6391,-3073.6244
centered_candidate_000185_7d346547,centered-gaussian,240,240,1037.0333,1022.5,668.5,1494.6,0.975,119.6835,3.1167,43.9,45.8042,0.2833,0.9625,0.2559,6192.5917,322.2483,507.3759,-3198.958
general_top1-phased_052666b9,top1-phased,240,240,1037.0333,1022.5,668.5,1494.6,0.975,119.6835,3.1167,43.9,45.8042,0.2833,0.9625,0.2559,6192.5917,322.2483,507.3759,-3198.958
general_top10-median-phased_7fc4cabe,top10-median-phased,240,240,1031.8042,1023.5,638.5,1452.8,0.9625,119.3504,3.0917,43.6,45.6167,0.2833,0.9667,0.2514,6181.6042,318.2563,479.3718,-3228.4013
general_topN-median-phased_0ff898e5,topN-median-phased,240,240,1031.8042,1023.5,638.5,1452.8,0.9625,119.3504,3.0917,43.6,45.6167,0.2833,0.9667,0.2514,6181.6042,318.2563,479.3718,-3228.4013
centered_candidate_000064_60e4f1e2,centered-gaussian,240,240,1034.4875,1024,690.8,1489.9,0.9792,119.7738,3.1167,43.6,45.4333,0.2833,1,0.2397,6244.0208,313.8363,533.8818,-3228.4939
general_top1-phased_82ffd2fb,top1-phased,240,240,1034.4875,1024,690.8,1489.9,0.9792,119.7738,3.1167,43.6,45.4333,0.2833,1,0.2397,6244.0208,313.8363,533.8818,-3228.4939
centered_candidate_000036_9be4ec2a,centered-gaussian,240,240,1021.0583,999,625.8,1442.1,0.9458,119.056,3.0542,43.4375,46.6458,0.3333,0.9583,0.2488,6170.8333,325.4442,463.0779,-3268.8905
centered_candidate_000037_9470253d,centered-gaussian,240,240,1030.5208,1020,648.9,1461.5,0.9667,119.5463,3.0792,43.7,45.225,0.3083,1,0.2361,6233.5833,314.7654,491.5173,-3270.2289
centered_candidate_000217_8a2eed32,centered-gaussian,240,240,1033.3625,1027,646.9,1467.6,0.9542,119.4169,3.1167,43.7375,45.8,0.3042,0.9833,0.2491,6292.6833,324.0442,484.8779,-3338.943
general_top1-phased_18de77ba,top1-phased,240,240,1033.3625,1027,646.9,1467.6,0.9542,119.4169,3.1167,43.7375,45.8,0.3042,0.9833,0.2491,6292.6833,324.0442,484.8779,-3338.943
general_top10-average-phased_1a79a32f,top10-average-phased,240,240,1037.1417,1007,660.2,1486.6,0.975,119.8458,3.1542,43.6167,45.8583,0.2958,0.9958,0.2481,6337.1708,316.7629,501.8186,-3356.7217
centered_candidate_000040_c3f12d61,centered-gaussian,240,240,1037.5875,1035.5,643.7,1460.7,0.9667,119.4306,3.1583,43.7,45.9667,0.3042,0.9875,0.2567,6351.425,309.989,488.7055,-3376.4586
centered_candidate_000150_24ab36ca,centered-gaussian,240,240,1027.5875,1016.5,644.5,1487.3,0.9583,119.1196,3.1042,43.2042,45.1792,0.3125,0.9833,0.2529,6334.8625,317.3655,485.8173,-3388.5648
centered_candidate_000179_025f37b6,centered-gaussian,240,240,1013.8167,1009,631.9,1398,0.9583,119.1021,3.05,42.6875,46.2167,0.2875,0.975,0.2558,6318.2667,312.4158,475.6921,-3398.5798
centered_candidate_000098_98d91250,centered-gaussian,240,240,1027.2,1017.5,653.9,1404.6,0.975,119.5448,3.1,43.225,45.2708,0.3125,1.0125,0.2458,6377.6958,317.9683,494.9159,-3407.2195
centered_candidate_000088_70d72123,centered-gaussian,240,240,1009.3667,1004.5,634.3,1396.1,0.9667,119.3933,3.0125,42.6875,44.175,0.3,1,0.2438,6339.6458,303.8893,482.3554,-3414.7004
centered_candidate_000043_cf6fc9e9,centered-gaussian,240,240,1027.1208,1018.5,629.6,1448.5,0.95,119.311,3.1083,43.225,45.4875,0.2958,0.9917,0.254,6359.9458,314.2044,472.4978,-3432.7359
centered_candidate_000171_4fba95ff,centered-gaussian,240,240,1025.8292,1002,649,1470.2,0.9583,119.6254,3.075,43.2875,45.5333,0.3,1,0.2514,6376.2042,320.3042,488.8479,-3435.9025
centered_candidate_000184_74f90d7f,centered-gaussian,240,240,1045.8833,1025.5,631.8,1490.4,0.9583,119.3152,3.1708,44.4958,47.125,0.3042,0.9792,0.263,6396.5,340.0127,461.7937,-3442.0959
centered_candidate_000121_b3cd88cf,centered-gaussian,240,240,1044.6083,1030.5,655.3,1519.4,0.9583,119.1856,3.15,44.2083,46.7958,0.2792,1.0125,0.255,6433.0833,321.9613,494.3193,-3455.0439
centered_candidate_000145_affe27a7,centered-gaussian,240,240,1025.175,1001.5,640.7,1471.9,0.9708,119.596,3.0667,43.2917,45.3042,0.3042,1.0167,0.2446,6405.9125,315.1343,483.1328,-3459.621
centered_candidate_000118_1d3ced7a,centered-gaussian,240,240,1019.5208,1007.5,629.5,1438,0.925,118.6283,3.1,42.9292,48.1042,0.3208,0.9458,0.2778,6357.5292,312.7615,473.1192,-3468.2106
centered_candidate_000061_ae8bda31,centered-gaussian,240,240,1048.0583,1007,641.7,1526,0.95,119.029,3.175,44.5417,47.0208,0.3,0.9708,0.2679,6420.4,341.7139,470.8431,-3473.8244
centered_candidate_000191_ba3dfc0a,centered-gaussian,240,240,1031.7583,1033,639.8,1452,0.9458,119.4165,3.1125,43.6208,45.15,0.2833,1.0167,0.2476,6430.5917,314.009,482.7955,-3487.4618
general_top5-average-phased_b1f91bd0,top5-average-phased,240,240,1035.0542,1015,653.2,1431.5,0.9542,119.4904,3.1458,43.475,45.9083,0.3,0.9875,0.2611,6448.3208,316.4166,494.9917,-3492.3233
