candidateId,strategyVariantId,runs,scenarioCount,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
general_top10-average-phased_684987c3,top10-average-phased,120,120,1202.6833,1128.5,687.1,1878.7,0.9417,119.3217,3.5917,55.15,1982.1583,1720.5,1116,2970.7,45.7833,0.35,0.9417,0.2541,6222.5417,757.6416,426.8925,737.1792,-2092.2642
centered_candidate_000038_52c10217,centered-gaussian,120,120,1183.25,1135,667.8,1760.1,0.925,118.2642,3.5167,54.5917,1911.1,1672.5,1119.3,2830.8,46.3583,0.3833,0.925,0.2669,6249.8917,722.797,424.9197,757.9015,-2216.8814
general_top1-phased_6cb1118e,top1-phased,120,120,1183.25,1135,667.8,1760.1,0.925,118.2642,3.5167,54.5917,1911.1,1672.5,1119.3,2830.8,46.3583,0.3833,0.925,0.2669,6249.8917,722.797,424.9197,757.9015,-2216.8814
centered_candidate_000096_0e9e3347,centered-gaussian,120,120,1193.5083,1113,658.4,1813.4,0.9167,118.7971,3.5167,55.1833,1948.65,1677.5,1104,3000.7,44.9583,0.325,0.9583,0.2457,6288.325,738.6054,430.4451,734.6973,-2233.2522
centered_candidate_000014_01b0d39f,centered-gaussian,120,120,1191.2417,1139,670.9,1820.9,0.9333,118.6333,3.5583,54.825,1946.1583,1715,1108.5,2962.3,46.1417,0.375,0.95,0.261,6355.675,739.6958,431.8747,738.6521,-2272.5196
centered_candidate_000005_09c834a3,centered-gaussian,120,120,1187.1417,1120.5,663.8,1787,0.925,118.5908,3.5167,54.55,1940.075,1666.5,1081.8,2963.7,46.1417,0.3333,0.95,0.2686,6322.7667,764.5206,416.9786,699.5397,-2297.9537
centered_candidate_000055_fe654e09,centered-gaussian,120,120,1200.3167,1137,688,1828.7,0.9417,119.0567,3.5333,55.25,1951.3083,1725,1128,2893.6,45.7333,0.325,0.975,0.259,6423.4417,724.8146,427.9907,765.5927,-2308.8815
general_top1-phased_fc9dd5e5,top1-phased,120,120,1200.3167,1137,688,1828.7,0.9417,119.0567,3.5333,55.25,1951.3083,1725,1128,2893.6,45.7333,0.325,0.975,0.259,6423.4417,724.8146,427.9907,765.5927,-2308.8815
centered_candidate_000104_36e986a7,centered-gaussian,120,120,1204.2417,1132.5,682.9,1807.3,0.925,118.6254,3.5667,55.6917,1947.425,1715,1102.6,2902.6,44.7167,0.3167,0.9917,0.2523,6386.825,749.9632,431.1679,727.6184,-2312.3163
centered_candidate_000102_03616871,centered-gaussian,120,120,1211.9833,1140,691.5,1852.4,0.95,119.2221,3.6,56.125,1968.9917,1778.5,1116,2985,46.2083,0.325,0.9833,0.2634,6465.6917,727.9637,431.669,752.0182,-2312.4464
centered_candidate_000079_36e3d574,centered-gaussian,120,120,1192.5333,1122,667.4,1817.4,0.925,118.3354,3.5583,54.925,1936.475,1683,1104,3009.3,46.9583,0.3417,0.9333,0.2755,6361.2167,753.0029,428.0932,727.4986,-2312.842
general_top5-average-phased_dbdb1c9d,top5-average-phased,120,120,1205.4417,1141.5,663.6,1830,0.925,118.1042,3.6083,55.5833,1958.75,1746,1084.5,3000,45.475,0.35,0.9833,0.2545,6417.975,761.3275,437.8738,703.8363,-2332.2577
centered_candidate_000032_bebfe723,centered-gaussian,120,120,1216.6333,1164,673.8,1826.1,0.9167,118.3304,3.6,56.375,1941.8917,1760.5,1104,2916.1,45.1417,0.3083,0.9583,0.2747,6440.625,727.8408,437.141,740.0796,-2349.7341
centered_candidate_000028_3133060d,centered-gaussian,120,120,1210.3583,1167,651.9,1886.9,0.9333,119.2379,3.5917,55.8,1954.6333,1764.5,1120.7,2903,44.6583,0.3167,1.0083,0.2498,6509.625,714.4264,456.7705,763.4868,-2380.9576
centered_candidate_000030_4fc3f0e1,centered-gaussian,120,120,1239.2917,1214.5,707.4,1828,0.9583,119.4221,3.7083,57.0917,1981.1,1738,1102.8,2982.7,44.6583,0.2917,1.0083,0.2592,6525.2083,749.8725,430.6892,727.8638,-2388.6889
general_top10-average-phased_0ac0161f,top10-average-phased,120,120,1207.4,1193.5,676.2,1821.5,0.9083,118.215,3.6,55.6,1938.275,1726,1101.7,2871.5,45.0083,0.325,0.975,0.2685,6454.0083,735.9097,437.45,733.7452,-2390.7976
centered_candidate_000011_638a2255,centered-gaussian,120,120,1180.8083,1125,675.8,1724.8,0.9167,118.9625,3.5,54.175,1920.6917,1618,1122.3,2887.5,45.8667,0.2833,0.975,0.2711,6431.9167,730.5718,416.3286,757.0141,-2419.1088
centered_candidate_000034_a33d4b69,centered-gaussian,120,120,1205.8833,1161,686.5,1816.2,0.9667,119.2192,3.6083,55.2833,1948.1833,1836,1114.8,2911.5,46.2,0.3083,1.0083,0.2634,6592.3,730.7683,433.2447,749.4159,-2424.0202
centered_candidate_000031_dabb0053,centered-gaussian,120,120,1204.9,1150,681.7,1903.9,0.9333,119.1883,3.5667,55.6333,1972.0083,1734,1091.3,3050.3,46.6833,0.3167,0.975,0.2773,6574.625,751.7784,449.8715,715.4108,-2471.0878
centered_candidate_000036_c5cfd375,centered-gaussian,120,120,1210.9833,1147.5,655.6,1809.2,0.9083,118.5404,3.5917,55.6583,1937.6167,1693,1104,2902.4,44.4417,0.2833,0.9833,0.2686,6524.675,743.4632,437.1698,732.2684,-2477.538
centered_candidate_000051_3e7e148a,centered-gaussian,120,120,1200.8667,1169,648,1798.8,0.9167,117.96,3.5417,55.7083,1939.7417,1693.5,1113.4,2899.8,46.3833,0.3333,0.9917,0.2608,6541.0417,761.4865,437.6936,732.6567,-2481.6453
centered_candidate_000045_f640909a,centered-gaussian,120,120,1216.95,1173.5,684.3,1845.5,0.9583,118.9142,3.5667,56.6,1956.1667,1691.5,1128,2997.2,46.8833,0.3583,1.0083,0.253,6590.7833,750.4569,443.6063,752.7716,-2482.3457
centered_candidate_000107_13cb8545,centered-gaussian,120,120,1186.9417,1119.5,662.9,1818.2,0.9167,118.4267,3.5167,54.925,1933.9417,1693.5,1127.8,2939.4,46.6583,0.325,0.975,0.2756,6551.9083,740.6602,433.6198,757.4699,-2484.7094
centered_candidate_000069_07e918ca,centered-gaussian,120,120,1206.275,1125.5,660,1827.3,0.9167,118.435,3.6167,55.725,1958.8833,1700.5,1104,3031.7,46.7667,0.3167,0.9833,0.2755,6565.0167,768.7822,455.6773,719.6089,-2491.2282
centered_candidate_000116_7e488249,centered-gaussian,120,120,1207.8167,1146,704.2,1839.4,0.9333,119.2617,3.6,55.5917,1951.85,1713,1118,2939.2,45.9917,0.3083,1.0083,0.2662,6608.6,728.7504,426.3181,753.6248,-2512.0584
centered_candidate_000112_d1ebd208,centered-gaussian,120,120,1196.9833,1161,674.9,1841.8,0.9167,117.9279,3.5667,55.125,1950.4333,1717.5,1113,2978.5,46.1583,0.325,0.975,0.2792,6599.3917,779.7587,430.4317,723.1207,-2519.4509
general_top5-average-phased_bea52337,top5-average-phased,120,120,1212.225,1138,684.8,1856.1,0.9083,118.2804,3.6,56.3083,1967.4333,1758,1104,2969.5,48.2,0.3167,1,0.2722,6638.425,757.9681,456.2391,725.0159,-2530.4218
centered_candidate_000110_b74d30d4,centered-gaussian,120,120,1218.3667,1179,686.9,1853.1,0.9417,118.8375,3.6417,56.1833,1971.5,1714.5,1080,2968.9,47.775,0.3167,1.0167,0.2663,6630.0583,762.9696,448.1136,698.5152,-2542.772
general_top10-median-phased_e8d667f1,top10-median-phased,120,120,1206.3333,1154,669.8,1835.5,0.9417,119.0492,3.6167,55.3833,1960,1736.5,1110.3,2926,47.0417,0.3,1.0167,0.2726,6667.2583,736.7561,427.7783,741.922,-2553.6106
general_topN-median-phased_f6d96ce6,topN-median-phased,120,120,1206.3333,1154,669.8,1835.5,0.9417,119.0492,3.6167,55.3833,1960,1736.5,1110.3,2926,47.0417,0.3,1.0167,0.2726,6667.2583,736.7561,427.7783,741.922,-2553.6106
general_top10-median-phased_2d0f5c32,top10-median-phased,120,120,1196.1583,1161,650.3,1841.2,0.9083,118.3683,3.5417,55.4083,1958.3333,1766.5,1110.3,2975.1,48.2417,0.3333,0.975,0.2802,6673.1,749.6225,442.5184,735.4888,-2564.0722
general_topN-median-phased_b048c97f,topN-median-phased,120,120,1196.1583,1161,650.3,1841.2,0.9083,118.3683,3.5417,55.4083,1958.3333,1766.5,1110.3,2975.1,48.2417,0.3333,0.975,0.2802,6673.1,749.6225,442.5184,735.4888,-2564.0722
centered_candidate_000090_c7e56817,centered-gaussian,120,120,1205.8417,1146.5,677.7,1823,0.9083,118.0817,3.5833,55.75,1936.5667,1708,1080,2965.1,47.5417,0.3,0.9667,0.2828,6611.125,766.3789,439.0886,696.8105,-2579.0296
centered_candidate_000111_ac6d9aaa,centered-gaussian,120,120,1210.1583,1128,710.7,1869.9,0.9417,119.1913,3.5833,55.9833,1968.9917,1744.5,1127.3,2918.3,46.2167,0.3167,1.0333,0.2593,6726.0417,733.9449,428.4273,760.3275,-2585.5212
centered_candidate_000056_3ef49f0f,centered-gaussian,120,120,1210.3417,1174,671.3,1808.9,0.9333,119.3325,3.5583,56.1,1977.45,1730.5,1129.8,2965.1,45.9583,0.2917,1.025,0.2658,6729.775,736.8061,429.7888,761.3969,-2590.2489
