candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000099_cb3cf52b,centered-gaussian,5,5,0.8,7449,8343,4863.4,9216.8,2406.3336,47743.8,53480,32605.6,57459.4,0.8,813.16,55.6,2518.2,543464.2,392889,197427.6,1018010,333.6,0,5.4,0.4748,35454.6,433363.0166,14255.0623,3660.2332,7449
general_top1-phased_b3e93463,top1-phased,5,5,0.8,7449,8343,4863.4,9216.8,2406.3336,47743.8,53480,32605.6,57459.4,0.8,813.16,55.6,2518.2,543464.2,392889,197427.6,1018010,333.6,0,5.4,0.4748,35454.6,433363.0166,14255.0623,3660.2332,7449
centered_candidate_000087_df63c2c5,centered-gaussian,5,5,0.8,7072,8330,3234.6,9512.4,3553.4733,44968.6,53487,21499.8,59281,0.8,746.08,50.6,2378.2,597574.8,652908,199435.2,962034.6,309.4,0,4.8,0.5331,32272.6,365516.2241,21971.6014,1457.8634,7072
centered_candidate_000507_6241e3c2,centered-gaussian,5,5,0.8,7031.4,8168,3161.2,9583,3560.5727,44611.2,52256,21104.2,59408.8,0.8,744.96,50,2360.6,612591.4,629876,181385.6,1034793,336,0,5.6,0.4542,36755.8,395825.8243,21970.3412,1380.9136,7031.4
centered_candidate_000020_bfd58b3c,centered-gaussian,5,5,1,6795.8,8056,4172,8180.2,2550.2806,44598.8,52241,28919,52875.8,1,801.22,52.4,2351.2,389651,358354,159958.6,614143.2,304.6,0,5.6,0.457,36102.6,212781.3684,15175.2372,2896.8597,6795.8
centered_candidate_000515_1c0279ca,centered-gaussian,5,5,0.8,6453.8,7986,3278.6,8094.6,3127.283,41997,51845,22139.4,52139.4,0.8,766.86,48.6,2220.2,444729.2,452500,165717,712224.4,325.8,0,6,0.4968,38582.2,266890.2642,19549.5016,1714.9585,6453.8
centered_candidate_000239_a1ffc191,centered-gaussian,5,5,0.8,5607.4,7977,1685.2,8007.8,3116.0104,37007.6,51550,12706,51796,0.8,689.02,45.6,1944,328657.2,439327,45635.6,564372.4,321.4,0,5.8,0.4673,37444.2,235291.5804,19370.6116,127.1948,5607.4
centered_candidate_000299_cf031301,centered-gaussian,5,5,0.8,5574.2,7965,926.8,9004.8,3739.0967,36470.8,51575,8133.6,56724.2,0.8,669.8,44,1915,402291.4,502227,19362.8,758976.6,291.8,0,5,0.5857,33767.6,332439.9702,22638.4119,-942.7484,5574.2
general_top1-phased_c3c0c326,top1-phased,5,5,0.8,5574.2,7965,926.8,9004.8,3739.0967,36470.8,51575,8133.6,56724.2,0.8,669.8,44,1915,402291.4,502227,19362.8,758976.6,291.8,0,5,0.5857,33767.6,332439.9702,22638.4119,-942.7484,5574.2
centered_candidate_000254_1e3269d7,centered-gaussian,5,5,0.8,5521.8,7942,834.2,8983,3774.5715,36067.8,51114,7316.2,56707.4,0.8,654.62,43.2,1898.2,392777.2,447502,18497.2,771559.4,312,0,5.4,0.5365,36352,339782.2668,22980.4483,-1053.0858,5521.8
centered_candidate_000283_a5133212,centered-gaussian,5,5,0.8,5458.4,7814,1308,8131.6,3286.7359,35994.2,50550,10265.2,52299.4,0.8,663.36,43.4,1896.8,401326,494049,32110.4,727267,308.6,0,5.4,0.4901,35410.4,309136.6352,20435.0674,-335.3679,5458.4
centered_candidate_000285_4d76e7fe,centered-gaussian,5,5,0.8,5345.2,8137,932.2,8212.8,3509.6935,35319,52221,8199,52891.6,0.8,670.24,43.2,1849.6,289974.4,357025,21133.4,542222.8,255.2,0,4.4,0.5014,29339,234180.3414,21508.4806,-822.6468,5345.2
general_top1-phased_e8d86eaa,top1-phased,5,5,0.8,5345.2,8137,932.2,8212.8,3509.6935,35319,52221,8199,52891.6,0.8,670.24,43.2,1849.6,289974.4,357025,21133.4,542222.8,255.2,0,4.4,0.5014,29339,234180.3414,21508.4806,-822.6468,5345.2
centered_candidate_000169_40250400,centered-gaussian,5,5,0.8,5157.8,7723,897.4,7932,3373.392,34237.2,50397,7463,51412.2,0.8,650.26,41.6,1806.8,284973,352832,20373.4,530923,348,0,4.6,0.5338,31967.2,229274.2257,21172.5892,-789.296,5157.8
centered_candidate_000405_63c710a9,centered-gaussian,5,5,0.8,5150.2,7809,763.2,8053,3489.0767,34269,50726,7112.8,51955.6,0.8,655.02,41.8,1806,323209.2,392500,17937.4,595771.4,326,0,6.2,0.4533,39089.6,257644.3563,21522.4181,-981.3384,5150.2
centered_candidate_000116_9d932cfb,centered-gaussian,5,5,0.8,5109.2,7768,741.4,7997,3474.2291,33995.8,50510,6767,51814.8,0.8,648.98,41.6,1788.4,316523.8,451829,16943,555043.2,302.2,0,4.6,0.4489,31136.4,246500.8242,21589.794,-995.7146,5109.2
centered_candidate_000398_c9aefd77,centered-gaussian,5,5,0.8,3203,2214,710,6751,3323.3915,22287.4,17524,6385.6,43419.8,0.8,457.24,31.4,1157.6,169693,47800,15423.8,447870.4,326.4,0,4.2,0.672,31418,272137.0229,19747.6176,-951.6958,3203
centered_candidate_000011_ee1e0def,centered-gaussian,5,5,0.6,6394.6,7819,2618.8,8959.8,3292.4225,41277.8,51138,17751.2,56622.2,0.8,749.9,48,2176.8,513658.8,476574,165358.8,858746,263,0,4.8,0.4608,30548.6,317169.8101,20476.0526,972.5888,6394.6
centered_candidate_000491_1c2a6383,centered-gaussian,5,5,0.6,6316,8182,2609,8504.6,3216.21,40974.6,52891,17610.2,54642.2,0.6,681.02,47.8,2177.6,314059.4,345273,129122.4,469769,296.6,0,4.8,0.5952,32123,174270.6072,20286.6015,1000.895,6316
centered_candidate_000161_626a27ff,centered-gaussian,5,5,0.6,5859.4,8290,1176.8,9174.4,3730.447,37929,53320,9113.6,57815,0.6,662.1,45.2,1999.6,318603.8,387270,28518.8,598158.8,267.6,0,5,0.4611,32111.8,259704.1574,22889.2692,-688.4235,5859.4
general_top1-phased_8a2f977b,top1-phased,5,5,0.6,5859.4,8290,1176.8,9174.4,3730.447,37929,53320,9113.6,57815,0.6,662.1,45.2,1999.6,318603.8,387270,28518.8,598158.8,267.6,0,5,0.4611,32111.8,259704.1574,22889.2692,-688.4235,5859.4
centered_candidate_000183_f9733a30,centered-gaussian,5,5,0.6,5706.4,7778,2048.8,7925.2,2963.5918,37245.4,50324,14051.2,51423,0.6,694.92,46,1961.4,413256,451599,80975.2,749002.4,375.6,0,5.8,0.6242,39643.6,307147.2406,18713.5614,567.0041,5706.4
centered_candidate_000255_8193bda8,centered-gaussian,5,5,0.6,5657.6,7801,2184.6,7961.4,2770.639,37738,50550,16812,51640.2,0.6,714.34,47.4,1994.2,367324.4,400636,45791.2,686148,364,0,5.8,0.5574,38433.8,283310.1518,16673.4189,799.2805,5657.6
centered_candidate_000365_1ca72eaa,centered-gaussian,5,5,0.6,5509,7713,768.2,9058.2,3806.0209,35993.2,50534,6613.6,57238.6,0.6,650.3,42.8,1903.4,336917.4,383346,16590.4,639491.2,291.6,0,5.6,0.4545,35601,275676.6031,23442.7185,-1134.8104,5509
centered_candidate_000274_e74eedbc,centered-gaussian,5,5,0.6,5496.8,7783,856,8926.2,3722.2197,35779.8,50431,7241.4,56228.4,0.6,652,43.2,1886,350146.4,518134,17754.8,597604.6,311.2,0,4.6,0.5582,31928,270229.0334,22763.2035,-1005.1099,5496.8
centered_candidate_000300_53ac43a7,centered-gaussian,5,5,0.6,5488.2,8161,93.2,9548,4433.7152,34962.2,52725,1727.4,59311.8,0.6,600.12,39.4,1853.8,396956,536007,3530.2,727313,304.2,0,5.6,0.4766,36192.4,328870.3032,27232.8306,-2123.6576,5488.2
centered_candidate_000240_e629ad91,centered-gaussian,5,5,0.6,5482,8192,76,9559.8,4441.0774,35036.4,52886,1522.8,59721,0.6,595.64,39.8,1850.8,342421.6,461893,2758.4,623314.4,225.4,0,4.4,0.4617,28699,283447.2691,27464.3945,-2144.5387,5482
centered_candidate_000437_226d3397,centered-gaussian,5,5,0.6,5405.6,7780,1304.2,8108.4,3247.1992,35760.4,50456,10500.2,52169.8,0.6,680.8,44.4,1882.8,305522,432608,28782.8,514296.4,314,0,5.6,0.4109,35831.4,224540.1126,19981.1598,-319.3996,5405.6
centered_candidate_000116_0e9186f1,centered-gaussian,5,5,0.6,5372.8,7805,55.6,9479,4381.2103,34241,50561,1131.8,59177.2,0.6,588.86,38.8,1812,311845,459884,2123,560117.6,281.6,0,4.6,0.5333,31267.4,257937.7065,27178.9739,-2135.0052,5372.8
centered_candidate_000286_f6ae9a6c,centered-gaussian,5,5,0.6,5298.4,8074,72.6,9214.6,4289.6757,34016.6,52174,1504.2,57839,0.6,597.22,38.8,1793.6,347888,480266,2838.8,648442.4,205.6,0,3.8,0.4735,25428.6,294844.0562,26613.7981,-2072.2379,5298.4
centered_candidate_000256_3dc729fd,centered-gaussian,5,5,0.6,5294.2,7982,371.6,8940.4,4000.9545,34237.6,51535,3561.8,56427.4,0.6,628.74,40.8,1796.8,335641,494490,7928.6,597486.6,242.4,0,4.4,0.4234,28393.8,272581.8954,24803.5161,-1628.8773,5294.2
centered_candidate_000487_5efef638,centered-gaussian,5,5,0.6,5258,8005,210,9044.4,4135.1479,33962.6,51959,2628.2,56785,0.6,625.64,40.2,1782.2,451002.8,495037,5709.6,894242,232.6,0,5.4,0.4097,33107.2,393944.3982,25542.8975,-1857.574,5258
