candidateId,strategyVariantId,runs,scenarioCount,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
general_top10-median-phased_e068994a,top10-median-phased,90,90,45.6111,31,11.9,89.3,36.4465,1023.5333,847.5,458,2030.3,0.4778,103.7622,3.4111,47.5222,1458.2333,1111,584.5,3021.3,90.5222,0.1222,1.7556,0.5045,13808.9333,883.0668,572.4979,-6.3233,45.6111
general_topN-median-phased_68d0619d,topN-median-phased,90,90,45.6111,31,11.9,89.3,36.4465,1023.5333,847.5,458,2030.3,0.4778,103.7622,3.4111,47.5222,1458.2333,1111,584.5,3021.3,90.5222,0.1222,1.7556,0.5045,13808.9333,883.0668,572.4979,-6.3233,45.6111
centered_candidate_000003_9cf1f686,centered-gaussian,90,90,45.2444,31,12.9,107.2,37.6119,998.0556,785,450.7,1877.8,0.4667,102.1644,3.3222,46.6444,1427.1444,1059,610.7,2838.8,92.5444,0.1222,1.7444,0.5194,13915.0889,882.4479,593.3778,-5.9059,45.2444
general_top1-phased_0836ae39,top1-phased,90,90,45.2444,31,12.9,107.2,37.6119,998.0556,785,450.7,1877.8,0.4667,102.1644,3.3222,46.6444,1427.1444,1059,610.7,2838.8,92.5444,0.1222,1.7444,0.5194,13915.0889,882.4479,593.3778,-5.9059,45.2444
centered_candidate_000068_16f2df3e,centered-gaussian,90,90,44.9,29.5,8,107.4,39.7185,995.9556,796.5,420.2,1998,0.4556,101.6378,3.3111,46.8889,1420.8444,1120,487,2956.3,90.9556,0.1,1.7556,0.5242,13866.4889,887.3716,610.094,-11.8592,44.9
centered_candidate_000029_31fcb45b,centered-gaussian,90,90,44.7667,31.5,11,96.1,37.0669,1006.1778,794.5,442.1,2025.3,0.4333,102.1,3.3444,47.2,1421.2333,1123.5,577.4,2935.4,92.5556,0.1111,1.7,0.5407,13804.3667,869.4115,584.1643,-7.5335,44.7667
centered_candidate_000158_10359186,centered-gaussian,90,90,44.6889,32,8,99.8,39.0966,989.8444,786,369.3,2048.3,0.4778,101.7094,3.3222,46.1556,1426.2778,1110.5,440.7,2998.5,90.8,0.1333,1.6778,0.5505,13643.8444,911.0697,610.1373,-11.5483,44.6889
general_top1-phased_c4dcf321,top1-phased,90,90,44.6889,32,8,99.8,39.0966,989.8444,786,369.3,2048.3,0.4778,101.7094,3.3222,46.1556,1426.2778,1110.5,440.7,2998.5,90.8,0.1333,1.6778,0.5505,13643.8444,911.0697,610.1373,-11.5483,44.6889
centered_candidate_000023_865da4fc,centered-gaussian,90,90,44.6667,31.5,10,94.2,38.1351,992.6333,829.5,423.4,2014.5,0.4222,102.0078,3.3,46.0556,1403.5111,1081.5,544.6,3040.5,89.6,0.1222,1.6444,0.5411,13423.7,879.8337,595.0239,-9.0676,44.6667
centered_candidate_000066_bbfdda96,centered-gaussian,90,90,44.5889,33.5,11.9,102.3,35.6277,1004.2,808,461.3,2036.9,0.4333,103.0717,3.3778,46.2556,1439.1778,1134,552.4,3068,89.5111,0.1444,1.7111,0.4987,13536.0444,868.0265,577.725,-5.9138,44.5889
