presetId,runIndex,matrixKey,strategyProfileId,seed,characterId,stageId,mapId,difficultyId,result,survivalTimeSeconds,durationSeconds,tickMs,level,kills,exp,score,damageDealt,damageTaken,pickupsCollected,enemiesSpawned,bossKilled,endlessStarted,endlessScalingLevel,strategyProfileHash,contentHash,leaderboardKey
,1,balanced_default|boss80-seedcheck-001|priest|stage_001|prototype_field|normal|900|100,balanced_default,boss80-seedcheck-001,priest,stage_001,prototype_field,normal,gameOver,138.4,900,100,5,74,80,1535,2837,145,64,295,false,false,0,fnv1a-d362b365,ch_194047933e9a08,mode=normal|controlMode=autoStrategy|autoChallengeType=normal|characterId=priest|stageId=stage_001|mapId=prototype_field|difficultyId=normal|seed=boss80-seedcheck-001|challengeId=|customStageId=|rulesetId=normal|strategyProfileHash=fnv1a-d362b365|strategyControlType=fixed|speedBucket=1.0x
,2,balanced_default|boss80-seedcheck-002|priest|stage_001|prototype_field|normal|900|100,balanced_default,boss80-seedcheck-002,priest,stage_001,prototype_field,normal,gameOver,119.3,900,100,4,57,50,1170,1832,140,48,262,false,false,0,fnv1a-d362b365,ch_194047933e9a08,mode=normal|controlMode=autoStrategy|autoChallengeType=normal|characterId=priest|stageId=stage_001|mapId=prototype_field|difficultyId=normal|seed=boss80-seedcheck-002|challengeId=|customStageId=|rulesetId=normal|strategyProfileHash=fnv1a-d362b365|strategyControlType=fixed|speedBucket=1.0x
,3,balanced_default|boss80-seedcheck-003|priest|stage_001|prototype_field|normal|900|100,balanced_default,boss80-seedcheck-003,priest,stage_001,prototype_field,normal,gameOver,148.7,900,100,5,76,75,1580,3009,139,67,305,false,false,0,fnv1a-d362b365,ch_194047933e9a08,mode=normal|controlMode=autoStrategy|autoChallengeType=normal|characterId=priest|stageId=stage_001|mapId=prototype_field|difficultyId=normal|seed=boss80-seedcheck-003|challengeId=|customStageId=|rulesetId=normal|strategyProfileHash=fnv1a-d362b365|strategyControlType=fixed|speedBucket=1.0x
,4,balanced_default|boss80-seedcheck-004|priest|stage_001|prototype_field|normal|900|100,balanced_default,boss80-seedcheck-004,priest,stage_001,prototype_field,normal,gameOver,136.7,900,100,3,43,38,933,1790,141,38,293,false,false,0,fnv1a-d362b365,ch_194047933e9a08,mode=normal|controlMode=autoStrategy|autoChallengeType=normal|characterId=priest|stageId=stage_001|mapId=prototype_field|difficultyId=normal|seed=boss80-seedcheck-004|challengeId=|customStageId=|rulesetId=normal|strategyProfileHash=fnv1a-d362b365|strategyControlType=fixed|speedBucket=1.0x
,5,balanced_default|boss80-seedcheck-005|priest|stage_001|prototype_field|normal|900|100,balanced_default,boss80-seedcheck-005,priest,stage_001,prototype_field,normal,gameOver,148.2,900,100,6,94,116,1932,3317,147,86,305,false,false,0,fnv1a-d362b365,ch_194047933e9a08,mode=normal|controlMode=autoStrategy|autoChallengeType=normal|characterId=priest|stageId=stage_001|mapId=prototype_field|difficultyId=normal|seed=boss80-seedcheck-005|challengeId=|customStageId=|rulesetId=normal|strategyProfileHash=fnv1a-d362b365|strategyControlType=fixed|speedBucket=1.0x
,6,balanced_default|boss80-seedcheck-006|priest|stage_001|prototype_field|normal|900|100,balanced_default,boss80-seedcheck-006,priest,stage_001,prototype_field,normal,gameOver,415.1,900,100,28,783,1929,15064,39026,363,765,1105,false,false,0,fnv1a-d362b365,ch_194047933e9a08,mode=normal|controlMode=autoStrategy|autoChallengeType=normal|characterId=priest|stageId=stage_001|mapId=prototype_field|difficultyId=normal|seed=boss80-seedcheck-006|challengeId=|customStageId=|rulesetId=normal|strategyProfileHash=fnv1a-d362b365|strategyControlType=fixed|speedBucket=1.0x
,7,balanced_default|boss80-seedcheck-007|priest|stage_001|prototype_field|normal|900|100,balanced_default,boss80-seedcheck-007,priest,stage_001,prototype_field,normal,gameOver,254.3,900,100,8,123,205,2750,7029,185,119,410,false,false,0,fnv1a-d362b365,ch_194047933e9a08,mode=normal|controlMode=autoStrategy|autoChallengeType=normal|characterId=priest|stageId=stage_001|mapId=prototype_field|difficultyId=normal|seed=boss80-seedcheck-007|challengeId=|customStageId=|rulesetId=normal|strategyProfileHash=fnv1a-d362b365|strategyControlType=fixed|speedBucket=1.0x
,8,balanced_default|boss80-seedcheck-008|priest|stage_001|prototype_field|normal|900|100,balanced_default,boss80-seedcheck-008,priest,stage_001,prototype_field,normal,gameOver,263.9,900,100,10,162,304,3535,8401,202,154,422,false,false,0,fnv1a-d362b365,ch_194047933e9a08,mode=normal|controlMode=autoStrategy|autoChallengeType=normal|characterId=priest|stageId=stage_001|mapId=prototype_field|difficultyId=normal|seed=boss80-seedcheck-008|challengeId=|customStageId=|rulesetId=normal|strategyProfileHash=fnv1a-d362b365|strategyControlType=fixed|speedBucket=1.0x
,9,balanced_default|boss80-seedcheck-009|priest|stage_001|prototype_field|normal|900|100,balanced_default,boss80-seedcheck-009,priest,stage_001,prototype_field,normal,gameOver,456.3,900,100,34,1075,2716,20259,46134,431,1056,1523,false,false,0,fnv1a-d362b365,ch_194047933e9a08,mode=normal|controlMode=autoStrategy|autoChallengeType=normal|characterId=priest|stageId=stage_001|mapId=prototype_field|difficultyId=normal|seed=boss80-seedcheck-009|challengeId=|customStageId=|rulesetId=normal|strategyProfileHash=fnv1a-d362b365|strategyControlType=fixed|speedBucket=1.0x
,10,balanced_default|boss80-seedcheck-010|priest|stage_001|prototype_field|normal|900|100,balanced_default,boss80-seedcheck-010,priest,stage_001,prototype_field,normal,gameOver,161.6,900,100,5,78,86,1626,3110,156,68,316,false,false,0,fnv1a-d362b365,ch_194047933e9a08,mode=normal|controlMode=autoStrategy|autoChallengeType=normal|characterId=priest|stageId=stage_001|mapId=prototype_field|difficultyId=normal|seed=boss80-seedcheck-010|challengeId=|customStageId=|rulesetId=normal|strategyProfileHash=fnv1a-d362b365|strategyControlType=fixed|speedBucket=1.0x
