candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000398_e83fa138,centered-gaussian,5,5,0.8,6987.8,8119,3300,9373.6,3495.0628,44791.4,52693,22031,58854.4,0.8,750.74,50,2372,398678.8,379898,139943,673444.6,254.8,0,4.2,0.4768,27457.8,265441.9445,21708.8156,1552.4686,6987.8
general_top1-phased_ba6e550f,top1-phased,5,5,0.8,6987.8,8119,3300,9373.6,3495.0628,44791.4,52693,22031,58854.4,0.8,750.74,50,2372,398678.8,379898,139943,673444.6,254.8,0,4.2,0.4768,27457.8,265441.9445,21708.8156,1552.4686,6987.8
centered_candidate_000195_208c96f0,centered-gaussian,5,5,0.8,6688.8,7936,3275,8876,3279.5955,43481.2,51596,22318,56485.6,0.8,763.78,49.8,2300,323845,364310,141100.2,453210.6,260.6,0,4.4,0.5414,28888,165254.891,20506.8054,1635.2022,6688.8
general_top1-phased_415370da,top1-phased,5,5,0.8,6688.8,7936,3275,8876,3279.5955,43481.2,51596,22318,56485.6,0.8,763.78,49.8,2300,323845,364310,141100.2,453210.6,260.6,0,4.4,0.5414,28888,165254.891,20506.8054,1635.2022,6688.8
centered_candidate_000323_8b902085,centered-gaussian,5,5,0.8,6386.4,7852,3177.2,8132.8,3125.9088,41760.4,50732,21627,52713.4,0.8,750.7,48.4,2211,301846.8,359556,144864,400425.2,305.6,0,5,0.4035,32616.6,150725.901,19778.7107,1614.2456,6386.4
centered_candidate_000077_38ffa4ca,centered-gaussian,5,5,0.8,6253.8,7750,3095.6,7913.2,3109.3594,40891.4,50516,20662.2,51407,0.8,739.72,47.2,2165.6,379122.8,421625,132769.6,574582.2,306.6,0,4.8,0.5336,31925.6,210428.799,20019.0761,1540.9203,6253.8
centered_candidate_000275_883ed995,centered-gaussian,5,5,0.8,5799.4,7873,1869.2,8282.2,3188.8213,37947,51402,13025.8,53376.2,0.8,667.32,45,2001.4,351523.2,466842,64760.6,582292.2,274,0,5.4,0.4163,34629.2,236143.8958,20301.2471,274.7894,5799.4
general_top1-phased_83151cfa,top1-phased,5,5,0.8,5799.4,7873,1869.2,8282.2,3188.8213,37947,51402,13025.8,53376.2,0.8,667.32,45,2001.4,351523.2,466842,64760.6,582292.2,274,0,5.4,0.4163,34629.2,236143.8958,20301.2471,274.7894,5799.4
centered_candidate_000170_7a238095,centered-gaussian,5,5,0.8,5566.2,7852,1538.2,8081.2,3210.5473,36660.6,51363,11218.4,52201.2,0.8,659.52,43.8,1933,332885.8,417056,39586.2,601757.4,272.4,0,4.4,0.4706,30755.4,255541.8351,20372.0208,-67.0736,5566.2
centered_candidate_000450_56008d6b,centered-gaussian,5,5,0.6,5507.8,7847,251.2,9582.8,4320.2882,35454.6,51141,3064.4,59850.6,0.6,621.1,41.2,1871.2,407095,596356,6085,729537.4,255,0,4.2,0.4544,27986.6,333925.3683,26505.0022,-1908.9441,5507.8
centered_candidate_000033_bbd5544a,centered-gaussian,5,5,0.6,5232.4,8219,104.6,8974.6,4200.5361,33846,52973,1769.8,56869.8,0.6,601.54,39.2,1786.6,295825.4,389514,3420.6,560909.6,230.8,0,3.8,0.5122,26240.2,252740.0376,26188.7536,-1995.6681,5232.4
general_top1-phased_db78e0cd,top1-phased,5,5,0.6,5232.4,8219,104.6,8974.6,4200.5361,33846,52973,1769.8,56869.8,0.6,601.54,39.2,1786.6,295825.4,389514,3420.6,560909.6,230.8,0,3.8,0.5122,26240.2,252740.0376,26188.7536,-1995.6681,5232.4
centered_candidate_000119_210a6f85,centered-gaussian,5,5,0.6,5152.4,7911,75.4,8961,4172.791,33418,51252,1524.2,56929,0.6,593,38.4,1772.4,309298,412996,2659.6,573849.6,274.6,0,5.2,0.4256,33098.2,258213.5529,26150.9786,-2010.9955,5152.4
centered_candidate_000248_b48df9e0,centered-gaussian,5,5,0.6,5145.8,7827,129.4,8956,4122.8614,33469,51078,1847.8,56781.8,0.6,604.18,39,1771.4,366388.2,275383,3277.2,844333.8,274.6,0,4.4,0.4973,30354.4,411922.749,25791.4607,-1932.0307,5145.8
centered_candidate_000120_0eec1cc2,centered-gaussian,5,5,0.6,5139,8079,118.6,8797.2,4115.5057,33420.6,52185,1987.6,55995.4,0.6,597.94,38.6,1769.4,335235.2,377577,3655.2,655125,247.8,0,4.2,0.5079,28058.6,289357.4069,25712.5231,-1939.1528,5139
centered_candidate_000480_912305f2,centered-gaussian,5,5,0.6,5134.2,7964,102.4,8866.4,4129.7251,33450.8,51861,1766.2,56491,0.6,599.18,38.6,1773.2,258628.6,351161,3160.6,489639.4,256.8,0,4,0.624,28888.2,223821.3559,25913.6642,-1962.4626,5134.2
centered_candidate_000398_b5532c35,centered-gaussian,5,5,0.6,5057.8,7747,122.8,8755.6,4047.1826,33023.8,50670,1870.2,55817.8,0.6,602.58,38.6,1744.8,276849,316445,3213.2,533739,239.4,0,4.8,0.4779,30360.2,236613.6891,25426.2252,-1900.7913,5057.8
centered_candidate_000118_23d7dec0,centered-gaussian,5,5,0.6,4955,7849,169.4,8323.6,3896.552,32621.2,50908,2300.2,53866.6,0.6,613.76,38.6,1718.2,256712.2,357513,4564.2,471498.2,198.6,0,3.6,0.3994,22953,213074.2096,24644.8389,-1778.876,4955
centered_candidate_000030_d371dd1d,centered-gaussian,5,5,0.6,4954.4,7956,99.8,8364.8,3969.0692,32479.8,51551,1816.2,53835.4,0.6,596.72,38,1715.2,260823.2,376021,3172.2,469341.4,214.6,0,3.4,0.5102,23878.8,214285.5499,25040.3232,-1884.7346,4954.4
centered_candidate_000256_01f5fc6f,centered-gaussian,5,5,0.6,4923,7944,176.4,8136.6,3858.0509,32386.6,51497,2541.2,52533,0.6,609.42,38.6,1708.8,298385.6,323872,4532.8,597826.6,252.8,0,4.4,0.5039,29993,263819.665,24217.4253,-1752.6254,4923
centered_candidate_000016_389353ab,centered-gaussian,5,5,0.6,4861,7749,61.8,8260.6,3921.0911,31956,50809,1336.2,53303.4,0.6,595.54,37.2,1690.6,233110,343101,2419.2,419232.6,230,0,3.8,0.5378,26483.4,192670.2359,24955.4149,-1898.7455,4861
centered_candidate_000121_b3488e4b,centered-gaussian,5,5,0.6,4859.6,7864,56.8,8174.2,3922.6587,31805,50865,1241.2,52880,0.6,589.56,37,1681.6,297765.8,418968,2183.4,555332,239.8,0,4.6,0.5431,31029.6,255094.4901,24964.5266,-1904.5294,4859.6
centered_candidate_000379_644cb89a,centered-gaussian,5,5,0.6,4858,7927,56,8137,3918.1354,31766,51748,1171.2,52372,0.6,588.74,37.2,1680.8,277357.6,337097,2043.2,542172,274.8,0,5,0.5347,33961.4,242646.7761,24922.9675,-1903.0677,4858
centered_candidate_000007_92bccbdb,centered-gaussian,5,5,0.6,4820,7815,42,8116.6,3902.1633,31573,51073,983.6,52480.8,0.6,582.92,36.8,1672.2,258945.4,346329,1460.2,485370.8,264.2,0,4.4,0.553,29844.2,218915.5328,24967.3539,-1909.0817,4820
centered_candidate_000148_e2fad2f0,centered-gaussian,5,5,0.6,4755.8,7847,83.6,7875.2,3808.8789,31507.4,50914,1594.4,51620.6,0.6,599.6,36.8,1668.8,251338.2,315898,3226.6,470793.8,232.6,0,4.2,0.4753,28017.2,210092.887,24337.4256,-1820.8395,4755.8
centered_candidate_000412_d247461b,centered-gaussian,5,5,0.6,4731.8,7776,56.4,7890.8,3816.4168,31156.4,50601,1231.8,51348.4,0.6,589.78,36.6,1646,374294.8,507906,1958.4,694993.2,236.4,0,3.4,0.5912,23345.6,314074.4216,24419.6421,-1851.8084,4731.8
centered_candidate_000261_8017e435,centered-gaussian,5,5,0.6,4683.8,7688,48.8,7832.4,3781.4748,31027.6,50514,1111.8,51191.4,0.6,586.24,36.6,1642,244646,299876,1766.6,469172.4,238,0,4.2,0.5577,28269.4,208740.3344,24358.0034,-1841.9374,4683.8
centered_candidate_000412_3e75e809,centered-gaussian,5,5,0.6,4353.4,4526,70,8730.8,3833.4156,28638.8,30591,1384.6,55767.4,0.6,516.54,34.8,1511.4,205965.6,162313,2299.2,441928.8,266.2,0,4.4,0.5602,29791.8,195920.0739,24058.8253,-1846.7078,4353.4
centered_candidate_000150_9002ccac,centered-gaussian,5,5,0.6,4071.8,3984,176.4,8039.2,3493.1905,27320.6,27487,2470.8,52255,0.6,539.12,35,1433.8,160608.4,117182,5120,341752.8,288.4,0,5.2,0.4633,34187.2,150757.7341,22116,-1570.1953,4071.8
centered_candidate_000269_8946b6a9,centered-gaussian,5,5,0.6,3885,2032,120.6,8703.8,3903.8338,25940.8,16398,1733.8,55527,0.6,506.94,32.6,1361.2,255263.4,45363,3064.6,624919.6,255,0,3.4,0.5726,25468,294520.9591,24224.4963,-1831.3169,3885
centered_candidate_000446_84467d56,centered-gaussian,5,5,0.6,3852,3165,84.2,7956.4,3530.9166,25921.4,23204,1491.8,51591,0.6,510.96,33,1363.6,217145.6,68650,2935.6,506061.6,288.8,0,5.8,0.5537,37963,236546.9193,22379.7487,-1681.2583,3852
centered_candidate_000515_5b238824,centered-gaussian,5,5,0.6,3829.8,3385,54.6,7829.2,3481.1005,25780.6,24102,1256.4,51119.8,0.6,505.9,32.6,1357.2,239327,88001,2000.8,553188.8,278,0,5,0.5038,33115,257423.1324,22293.4247,-1685.9502,3829.8
centered_candidate_000050_423ea042,centered-gaussian,5,5,0.6,3826.6,2825,214.6,7918.4,3460.7864,26021.8,21018,2671.8,51654.4,0.6,529.58,33.8,1364.6,179076.4,62923,5714.4,426829.4,271.2,0,4,0.6308,29394.8,197033.1243,21891.6527,-1515.7932,3826.6
centered_candidate_000399_3ebe9f7b,centered-gaussian,5,5,0.6,3826,2757,148,8041,3555.6824,25905.8,20791,2243.8,52054.4,0.6,526.7,33.2,1355.8,240347.4,64142,4766.2,564226.6,231.8,0,3.8,0.5263,26682.6,264868.0451,22345.4637,-1629.8412,3826
centered_candidate_000096_8dcb5a4d,centered-gaussian,5,5,0.6,3804,3202,59.2,7870,3493.2885,25606.6,23482,1193,51142,0.6,500.1,32.4,1347.6,190968.6,78763,1883,451508.2,271.2,0,4.6,0.5574,31085.4,207888.058,22270.0773,-1687.4442,3804
