candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000302_be8c06a0,centered-gaussian,8,8,0.5,4408.25,4223.5,49.9,9046.5,4357.1185,28601.75,27856,1177.1,57305.4,0.5,515.1875,32.875,1511.375,179488.375,116818.5,2055.2,400122,185,0,3.125,0.5915,22452,208771.447,27338.6264,-2128.6592,4408.25
general_top1-phased_bfd09701,top1-phased,8,8,0.5,4408.25,4223.5,49.9,9046.5,4357.1185,28601.75,27856,1177.1,57305.4,0.5,515.1875,32.875,1511.375,179488.375,116818.5,2055.2,400122,185,0,3.125,0.5915,22452,208771.447,27338.6264,-2128.6592,4408.25
centered_candidate_000265_5a74f1e9,centered-gaussian,8,8,0.5,3543.875,910.5,54.8,8758.4,4091.5761,23515.375,8123.5,1218.1,55933.5,0.5,459.3125,28.875,1234.5,92438.625,17506,1936.3,242281.8,197.75,0,3.625,0.5027,25197,110733.1567,25449.0809,-1990.9881,3543.875
centered_candidate_000111_f13682e2,centered-gaussian,8,8,0.5,3432.625,1101.5,51.6,8458.1,3877.0413,22994.125,9304,1114.7,54545.2,0.5,450.4125,28.25,1211.125,113269.875,21850.5,1658.5,286226.3,200.625,0,3.375,0.6097,24784.5,136986.6993,24520.9531,-1886.9206,3432.625
general_top1-phased_fa11a287,top1-phased,8,8,0.5,3432.625,1101.5,51.6,8458.1,3877.0413,22994.125,9304,1114.7,54545.2,0.5,450.4125,28.25,1211.125,113269.875,21850.5,1658.5,286226.3,200.625,0,3.375,0.6097,24784.5,136986.6993,24520.9531,-1886.9206,3432.625
centered_candidate_000025_1599318b,centered-gaussian,8,8,0.5,1845.625,797,46.5,4106.1,2877.1349,13554.625,7449,1066.2,28551.9,0.5,330.6,20.375,700.25,51134.875,16920,1644.9,114950.5,216.5,0,3.75,0.644,27357.625,93006.8615,18013.3213,-1392.0675,1845.625
centered_candidate_000049_30d9616d,centered-gaussian,8,8,0.375,3728.5,2479.5,37.2,8297.7,3823.9297,24600.875,16983,944.7,53616.3,0.375,460.6125,29.875,1301,145411.125,56207.5,1518,351364.2,210.125,0,3,0.676,23265.25,163716.9755,24358.591,-1874.7649,3728.5
centered_candidate_000244_c16eafdf,centered-gaussian,8,8,0.375,3664.75,1527,71.7,8698.1,3944.8207,24399.5,11929.5,1443.1,55583.2,0.375,483.1875,30.75,1283.125,128269.375,31620.5,2869.3,325905.3,219,0,4.5,0.4841,29910.75,147916.6772,24630.7759,-1900.7103,3664.75
centered_candidate_000247_0d9c55f4,centered-gaussian,8,8,0.375,3523.625,95.5,34.7,9613.6,4484.3775,22614.875,1791.5,842.2,59790.1,0.375,405.875,26.25,1194.375,125968.75,2931.5,1142.4,346046.3,194.5,0,3.375,0.6579,24687.375,160969.1776,27652.1905,-2207.4888,3523.625
centered_candidate_000145_4be1fa86,centered-gaussian,8,8,0.375,3490.375,223.5,43.9,9297.1,4353.0265,22738.25,2822,1009.1,58620.9,0.375,430,27.125,1199.25,122976.75,5915,1617.1,324319.6,201.125,0,3.25,0.5849,23537.25,154377.954,27007.2352,-2132.6132,3490.375
general_top1-phased_c02c1add,top1-phased,8,8,0.375,3490.375,223.5,43.9,9297.1,4353.0265,22738.25,2822,1009.1,58620.9,0.375,430,27.125,1199.25,122976.75,5915,1617.1,324319.6,201.125,0,3.25,0.5849,23537.25,154377.954,27007.2352,-2132.6132,3490.375
centered_candidate_000213_10097195,centered-gaussian,8,8,0.375,3489.75,263.5,54.6,9477.1,4342.9757,22719.25,3063,1185.1,59480.9,0.375,442.95,27.375,1192.625,119375.75,6532,2276.2,340712.4,189.125,0,3.75,0.507,25494.375,152938.2351,26886.7902,-2116.8879,3489.75
centered_candidate_000079_b7c5ab63,centered-gaussian,8,8,0.375,3487.875,581.5,46.6,9004.7,4191.0836,22736.375,5181,1092.3,56673.3,0.375,444.725,28,1189,147124.5,12194.5,1795.9,435643.9,183.875,0,3.5,0.5947,24623.125,190742.6911,26000.1248,-2048.9418,3487.875
centered_candidate_000226_01d078ee,centered-gaussian,8,8,0.375,3479.125,101.5,32.4,9631.8,4427.7969,22415.25,1827.5,752,59818,0.375,408.3,26.25,1181.5,148230.125,2940,1019.3,410979.7,180.75,0,2.625,0.6531,20132,193100.62,27319.7692,-2181.4984,3479.125
centered_candidate_000222_6b8c6093,centered-gaussian,8,8,0.375,3451.125,283,49.8,8972.3,4286.8321,22544.875,3375.5,1139.3,56786.3,0.375,449.4125,27.25,1183.125,127949.25,7707,2009.7,354275,193,0,3.25,0.5156,23133.5,162773.0714,26532.6482,-2093.616,3451.125
centered_candidate_000059_3ec52593,centered-gaussian,8,8,0.375,3447.375,86,57.7,9283.2,4366.2843,22393.875,1614,1237.3,58383.4,0.375,421.6875,26.375,1180.25,156847.625,3046,2110.6,482296.4,177.5,0,3.375,0.5386,22954,210787.2722,27093.3891,-2125.4422,3447.375
centered_candidate_000009_8e70f546,centered-gaussian,8,8,0.375,3389.625,181,47.8,8887.9,4252.6921,22196.25,2543.5,1083.6,56408.6,0.375,423.75,26.625,1172.5,129680.125,4796,1549.8,368482.9,213.625,0,3.5,0.7096,26232.75,165596.9193,26547.121,-2078.5461,3389.625
centered_candidate_000272_bcd43dfc,centered-gaussian,8,8,0.375,3360.375,159.5,42,8915.3,4235.3148,21959.25,2204.5,972.3,56694.1,0.375,425.4,26.125,1156.25,111750.875,4857,1418.6,302959.4,179.5,0,3.5,0.5427,24632.125,141803.0838,26483.8462,-2075.6574,3360.375
centered_candidate_000131_e9dd4686,centered-gaussian,8,8,0.375,3348.75,153,32.9,8899.6,4234.06,21743.875,2134,766.8,56470.8,0.375,419.6,26,1144.25,130285,4290.5,1021,385225.8,205.75,0,3.5,0.6574,25636.375,170133.7316,26382.9609,-2084.13,3348.75
centered_candidate_000301_0053d634,centered-gaussian,8,8,0.375,3332.875,64,50.6,8923.3,4242.5898,21719.625,1312.5,1109.5,56482.4,0.375,418.0875,25.5,1144.125,110401.75,2672.5,1964.3,289512.1,167.125,0,2.875,0.5451,20895.125,140795.9934,26556.8144,-2070.6949,3332.875
centered_candidate_000137_c7680faa,centered-gaussian,8,8,0.375,3328.75,150,36.9,8800.9,4193.7395,21689.75,2143.5,820.2,55828.3,0.375,417.875,25.875,1139.25,127879.375,4024,1079,336121.4,164.125,0,2.5,0.6175,19520,163650.6546,26249.686,-2059.9698,3328.75
centered_candidate_000089_663b9c12,centered-gaussian,8,8,0.375,3308.25,103,45.5,8721.3,4182.5248,21710.5,1938,1039.8,55697.7,0.375,420.475,26,1142.75,130233.875,3518.5,1561.6,371216.1,169.5,0,2.75,0.6654,20826.375,166789.8934,26153.8122,-2045.7624,3308.25
centered_candidate_000131_25b5bc58,centered-gaussian,8,8,0.375,3298.625,196,43.2,8728.3,4125.9286,21753.625,2637.5,1014.9,55697.3,0.375,427.875,26.375,1144.125,121895.375,5155.5,1595.1,315634.7,174,0,3,0.6355,22202.625,160035.5206,25919.9554,-2019.7643,3298.625
centered_candidate_000043_468afba0,centered-gaussian,8,8,0.375,3290.375,209.5,35.4,8790.9,4111.9842,21527.125,2643.5,786.6,55449.1,0.375,424.3625,26,1131.625,115124.75,5173,1149.1,304230.3,194.875,0,3.125,0.5409,22669.125,147871.8571,25722.6413,-2020.5921,3290.375
centered_candidate_000026_85008b72,centered-gaussian,8,8,0.375,3272.75,61,38.4,8691.4,4163.6232,21356,1288.5,871.7,55433.8,0.375,408.5,25.25,1124.5,107055.5,2236,1180.3,311660.7,164.625,0,3.125,0.6517,22382.75,140824.0616,26170.9583,-2043.4116,3272.75
centered_candidate_000314_82e10d84,centered-gaussian,8,8,0.375,3263.875,70,48.8,8570.4,4152.5709,21470.25,1493.5,1083.9,54989.3,0.375,413.625,25.625,1132.875,115748.375,2942.5,1599.3,321660.9,177.25,0,2.625,0.6422,20552.625,148053.6701,26158.1392,-2027.4855,3263.875
centered_candidate_000172_5fdb5098,centered-gaussian,8,8,0.375,3253.375,89.5,53.9,8595.3,4118.9797,21415.75,1656.5,1135.2,54833,0.375,418.2875,25.625,1129.5,120277.375,3158,1867.3,338340.9,183.75,0,3.125,0.59,22656.875,153922.5284,25954.9322,-2005.5898,3253.375
centered_candidate_000221_d4383b11,centered-gaussian,8,8,0.375,3252.5,270,49.6,8455,4026.1448,21543.625,3207.5,1069,54277.1,0.375,430.2125,26.5,1130.875,110682.25,6419.5,1858.9,310102.1,171.625,0,3.25,0.5511,22774.25,140638.1656,25329.3894,-1963.4724,3252.5
centered_candidate_000246_6b422cbf,centered-gaussian,8,8,0.375,3248.625,150.5,35.2,8611.2,4087.2146,21376.875,2179,836.8,55170.1,0.375,421.75,25.625,1124.625,101995.125,4500,1257.7,274934.5,167.25,0,2.875,0.5327,20571.625,128756.4369,25797.6085,-2008.4073,3248.625
centered_candidate_000255_b5c3663a,centered-gaussian,8,8,0.375,3231.375,74.5,52.2,8586.1,4091.0725,21267.375,1542.5,1132.3,54789,0.375,420.125,25.5,1119.125,112319.875,3014,2051.4,305984.5,170.5,0,3,0.5844,21757.875,143883.5495,25718.2618,-1993.3363,3231.375
centered_candidate_000292_99427ba4,centered-gaussian,8,8,0.375,3230.75,247,51.7,8440.4,4006.9921,21395.875,3011.5,1162.4,53899.6,0.375,439.825,26.25,1121,108224,6479.5,1762.3,286901.2,167.375,0,2.625,0.5591,19219.375,135241.8005,25168.434,-1951.796,3230.75
centered_candidate_000126_e6ef839a,centered-gaussian,8,8,0.375,3221.875,87,32.7,8537.4,4081.1973,21147.875,1648,780.3,54570.3,0.375,409.6375,25.375,1112.625,123954.5,2522,1099,332912.5,166.75,0,3,0.6377,22201.625,160151.3717,25710.5629,-2007.8986,3221.875
centered_candidate_000149_21c3f718,centered-gaussian,8,8,0.375,3220.125,42,32.7,8591.6,4108.5124,21068.625,990.5,806.5,54929.9,0.375,401.5875,24.625,1116.375,85748.625,1576.5,1086,234704,201.375,0,3.25,0.6912,24289.375,111252.2831,26043.9266,-2021.5562,3220.125
centered_candidate_000128_09608a7c,centered-gaussian,8,8,0.375,3212.625,115,36.7,8602.7,4064.0777,21152.375,2045,827.2,54813.5,0.375,420.375,25.5,1112.25,111222.875,3840.5,1234.3,305859.3,174.25,0,2.75,0.6354,20229.5,142754.8158,25547.8378,-1995.3388,3212.625
centered_candidate_000038_9e814272,centered-gaussian,8,8,0.375,3212.5,225.5,54.6,8415.5,3982.7562,21298.75,2781,1225.6,53732.7,0.375,437.8625,26.375,1115.625,126952.125,5628.5,2313.5,357928.7,177.125,0,3.25,0.5198,22733.875,161034.038,25013.6838,-1936.7781,3212.5
centered_candidate_000044_b1578076,centered-gaussian,8,8,0.375,3201.25,88.5,48.6,8457.4,4047.8518,21145.625,1565.5,1127.1,54278.2,0.375,413.9375,25.375,1113.875,108797,2660,1766.4,321857.4,162.75,0,2.375,0.6838,18627.25,141186.5681,25610.8855,-1975.3259,3201.25
centered_candidate_000118_8214924a,centered-gaussian,8,8,0.375,3198.375,75.5,37,8429.6,4057.0911,21011.875,1510,895.7,54140.5,0.375,413.75,25,1107,91231.5,2819,1263.6,252061.8,174.75,0,3,0.5711,21681.625,116410.5063,25571.7305,-1991.5455,3198.375
centered_candidate_000338_c2fc14d7,centered-gaussian,8,8,0.375,3192.125,77.5,45.6,8489,4048.7342,21106.125,1528.5,1038.6,54489.3,0.375,413.8375,25.125,1114.125,118916.625,2755.5,1589.7,323245.5,168.625,0,3.125,0.5889,22576,154848.5997,25654.8302,-1978.7671,3192.125
centered_candidate_000269_328956d8,centered-gaussian,8,8,0.375,3175.125,92.5,33.2,8378.7,4023.1758,20947.625,1665.5,795,53953.9,0.375,410.0375,25.125,1101.875,117562,2985.5,1081.3,315915.7,150.875,0,2.25,0.6055,17238.375,150994.4582,25491.6844,-1978.3879,3175.125
centered_candidate_000193_ae7607bf,centered-gaussian,8,8,0.375,3168,113,42.9,8350.2,3994.932,20988.25,1946,1025.5,53877.6,0.375,421.8,25.5,1104.375,127455,3754.5,1697,336632.5,179.125,0,3.5,0.5453,24158.625,165778.782,25231.9231,-1954.566,3168
centered_candidate_000295_2c23d9f2,centered-gaussian,8,8,0.375,3138.625,205,37.7,8184.9,3908.8756,20976.625,2748,867.9,53274.5,0.375,431.3875,25.625,1103.375,115665.5,6142.5,1266.9,311564,166.875,0,3,0.5779,21797,145692.5402,24850.0742,-1916.7378,3138.625
centered_candidate_000084_e704478d,centered-gaussian,8,8,0.375,3137.125,98,54,8263.1,3959.7276,20839.125,1764.5,1072.7,53236.3,0.375,416.4375,25.125,1098,135832,3009,1818.4,371613.1,165.5,0,3,0.5949,21384.625,181276.816,25143.8742,-1925.8638,3137.125
centered_candidate_000334_e37b28ff,centered-gaussian,8,8,0.375,3119,56.5,40,8250.9,3966.4763,20591.5,1155.5,895.1,53317.7,0.375,407.0625,24.625,1084.75,107230.875,1839,1418.2,287677.5,165.625,0,3,0.618,21910,136452.2948,25288.6009,-1943.2382,3119
centered_candidate_000123_dc372c54,centered-gaussian,8,8,0.375,2911.75,839,50.9,8368.9,3473.5866,19804.875,7314,1170.4,53963.2,0.375,418.8,26.25,1037.875,94603.375,17327,2166.8,308924.9,227.875,0,4.125,0.5299,28285.5,129113.1031,21968.1322,-1685.8933,2911.75
centered_candidate_000013_b507a5cf,centered-gaussian,8,8,0.375,2762.625,87.5,39.8,9249.5,3914.0079,18499,1607.5,898.4,58574.9,0.375,355.975,23,977.75,79351.75,2873.5,1268.1,269318.6,193.75,0,3.125,0.6533,23566.5,116268.7496,24460.5493,-1917.2039,2762.625
centered_candidate_000100_5ea6f4db,centered-gaussian,8,8,0.375,2673,974.5,38.1,8462.7,3521.7939,18214.25,8309.5,844.9,54391.2,0.375,382.1375,24.25,953.5,79749,19746,1183,276192.9,208.75,0,3.375,0.6406,25405,115224.7169,22120.1876,-1722.797,2673
centered_candidate_000296_94e32364,centered-gaussian,8,8,0.375,2641,1072,87.7,8253.7,3349.5769,18253.5,9046.5,1616.8,53132.3,0.375,403.5,25,952.5,87668.25,22975.5,2956,253029.1,214.5,0,3.25,0.6132,24560.75,137720.6561,21022.3059,-1587.0885,2641
