candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000027_c3b21c95,centered-gaussian,5,5,0.8,6934.8,8231,3397.4,9103,3364.8676,44787.2,53049,22997.2,57788.8,0.8,768.92,51,2371.4,237443.8,245755,89386.2,368139.6,287.2,0,5,0.4465,32296.2,131746.2865,20878.2808,1714.9662,6934.8
general_top1-phased_a30a57f5,top1-phased,5,5,0.8,6934.8,8231,3397.4,9103,3364.8676,44787.2,53049,22997.2,57788.8,0.8,768.92,51,2371.4,237443.8,245755,89386.2,368139.6,287.2,0,5,0.4465,32296.2,131746.2865,20878.2808,1714.9662,6934.8
centered_candidate_000260_4a492daa,centered-gaussian,5,5,0.8,6701.8,8414,3324.2,8437.8,3263.9203,43341.6,53797,22397.4,54102.6,0.8,771.12,49.4,2284.6,261731.8,291818,107342.8,387428,223,0,4.6,0.398,28375.8,140509.8319,20409.8195,1692.2398,6701.8
general_top1-phased_c893f00a,top1-phased,5,5,0.8,6701.8,8414,3324.2,8437.8,3263.9203,43341.6,53797,22397.4,54102.6,0.8,771.12,49.4,2284.6,261731.8,291818,107342.8,387428,223,0,4.6,0.398,28375.8,140509.8319,20409.8195,1692.2398,6701.8
centered_candidate_000222_413ee581,centered-gaussian,5,5,0.8,6585,8175,3172.8,8450.2,3268.6234,42739,52567,21356.2,54303.2,0.8,747.58,48.6,2259.4,288264.2,309163,98701.8,456412.4,231.2,0,4.4,0.4299,27967.6,167712.5337,20689.5328,1538.4883,6585
centered_candidate_000066_37d18b76,centered-gaussian,5,5,0.8,6583.6,8141,3270.2,8329.6,3239.5141,42863.2,52584,22027.6,53841,0.8,750.36,48.8,2269.8,210522.6,256948,91921.2,284534.2,249,0,3.8,0.5003,26261.4,105696.7511,20517.2751,1650.443,6583.6
centered_candidate_000044_f72b9653,centered-gaussian,5,5,0.8,6538,8026,3234.8,8339,3240.5495,42444.8,52041,21577.8,53585.8,0.8,747.6,48.4,2245.2,261169.4,320520,90115.2,392106.4,261.2,0,5,0.4467,32628,146329.5003,20546.615,1614.5252,6538
centered_candidate_000211_b9823e39,centered-gaussian,5,5,0.8,6415.8,8079,3124.6,8124.4,3165.9444,41681,51863,21162,52296.4,0.8,749.66,48,2203,261320.8,312705,111603,359321,298.4,0,5.2,0.4553,34094.4,132737.8039,19991.7302,1541.6278,6415.8
general_top1-phased_466a26d4,top1-phased,5,5,0.8,6415.8,8079,3124.6,8124.4,3165.9444,41681,51863,21162,52296.4,0.8,749.66,48,2203,261320.8,312705,111603,359321,298.4,0,5.2,0.4553,34094.4,132737.8039,19991.7302,1541.6278,6415.8
centered_candidate_000033_381fe883,centered-gaussian,5,5,0.8,5402.6,8188,916,8284.2,3553.3816,35623.2,52983,7690,53271.8,0.8,647.06,42.8,1873,190273.4,295807,19430,304511,240.8,0,4.2,0.5589,28462,136675.9437,22086.8703,-860.6908,5402.6
