candidateId,strategyVariantId,runs,scenarioCount,bossKillRate,avgExp,medianExp,p10Exp,p90Exp,expStdDev,avgScore,medianScore,p10Score,p90Score,completionRate,avgSurvivalTimeSeconds,avgLevel,avgKills,avgDamageDealt,medianDamageDealt,p10DamageDealt,p90DamageDealt,avgDamageTaken,damageWindowPassRate,avgDamageWindowViolationCount,avgMaxDamageWindowRatio,damageSafetyPenalty,damageDealtStdDev,scoreStdDev,consistencyScore,generalFitnessScore
centered_candidate_000025_ffa8ee34,centered-gaussian,5,5,0.8,3904.4,2671,928.6,7690,3170.2655,26480.8,20134,7813,49198.2,0.8,486.76,35.6,1387.6,184251.6,59004,23333,433850.6,355.4,0,5.4,0.7335,38910.2,204809.3308,19373.3521,-656.5328,3904.4
general_top1-phased_2b9968fc,top1-phased,5,5,0.8,3904.4,2671,928.6,7690,3170.2655,26480.8,20134,7813,49198.2,0.8,486.76,35.6,1387.6,184251.6,59004,23333,433850.6,355.4,0,5.4,0.7335,38910.2,204809.3308,19373.3521,-656.5328,3904.4
centered_candidate_000153_3763ffdb,centered-gaussian,5,5,0.8,3409,2170,799.4,6732.4,2735.516,23625.4,17311,7036,43711.4,0.8,474.26,33.4,1228.6,150843.8,48124,19523.8,355659.6,349,0,4.4,0.8491,34413.6,168641.9575,16897.8825,-568.358,3409
centered_candidate_000091_c8dd2b77,centered-gaussian,5,5,0.8,3036,3311,1197.4,4492.8,1615.5163,21368.2,23952,9413,30273.2,0.8,415.82,32.8,1103.6,90057.2,97217,26920,144065.2,373.8,0,5.4,0.7228,39810.4,53159.2712,10572.5298,389.6419,3036
general_top1-phased_87f59066,top1-phased,5,5,0.8,3036,3311,1197.4,4492.8,1615.5163,21368.2,23952,9413,30273.2,0.8,415.82,32.8,1103.6,90057.2,97217,26920,144065.2,373.8,0,5.4,0.7228,39810.4,53159.2712,10572.5298,389.6419,3036
general_top5-average-phased_f0f79e74,top5-average-phased,5,5,0.6,4931,7544,50.8,8653,4026.4504,32152.4,49576,1148.4,55197.8,0.6,592.44,37,1708.2,361888.2,412932,2175.8,732284.8,310.4,0,4,0.668,29991.8,331799.0207,25461.2011,-1962.4252,4931
centered_candidate_000177_cc45e3c0,centered-gaussian,5,5,0.6,4728,7648,150.8,7828.4,3718.5387,31259.6,50260,2096.4,50729.2,0.6,617.02,37.6,1644.6,365878.4,555241,4604.8,635128.6,248,0,3.8,0.5377,26340.4,296051.4374,23643.2498,-1708.4693,4728
centered_candidate_000111_f6829998,centered-gaussian,5,5,0.6,4711,7656,115,7835,3746.7854,31236.2,50380,1885.4,50926.8,0.6,602.66,37.2,1652,314394.8,356614,3548,604795.8,268.2,0,4.2,0.5928,29756.8,269275.6176,23892.2295,-1758.3927,4711
centered_candidate_000159_18a8fdd0,centered-gaussian,5,5,0.6,4701.2,7708,53.6,7848,3793.9551,30978.8,50724,1228.2,50832.4,0.6,593.64,36.4,1634.2,391227.2,453163,2218.8,751274.4,220.6,0,3.2,0.5404,22692.4,335509.9967,24269.1587,-1843.3776,4701.2
centered_candidate_000035_65a0b678,centered-gaussian,5,5,0.6,4687.8,7699,63.6,7802.6,3770.6616,30913.6,50591,1261.2,50634.2,0.6,591.48,36.6,1635.2,369646.2,538572,2173,669940.6,278.8,0,4.4,0.5922,30365.8,307756.7158,24135.935,-1821.7308,4687.8
general_top1-phased_1d249943,top1-phased,5,5,0.6,4659.2,7635,56,7782,3756.145,30739,49984,1224,50620.8,0.6,596.44,36.2,1625.6,376095.2,481343,2283.6,729079.2,272.6,0,3.4,0.6632,25707.8,330891.7659,24067.3744,-1822.0725,4659.2
search_candidate_000176_30c25bf4,random-phased,5,5,0.6,4659.2,7635,56,7782,3756.145,30739,49984,1224,50620.8,0.6,596.44,36.2,1625.6,376095.2,481343,2283.6,729079.2,272.6,0,3.4,0.6632,25707.8,330891.7659,24067.3744,-1822.0725,4659.2
centered_candidate_000062_e051d390,centered-gaussian,5,5,0.6,4526,4412,1195.8,7646.8,2893.6969,30504.4,29707,9476.2,50012,0.6,583.62,39.6,1609.4,228981.8,139796,30236.8,487082.8,359,0,5.4,0.6239,37144.6,209315.5545,18325.4718,-251.0485,4526
centered_candidate_000181_45f1d488,centered-gaussian,5,5,0.6,4233.2,4163,64.8,8581,3770.7975,27999.4,28643,1381.6,54987,0.6,514.4,34.4,1477.6,325316.8,119992,2434.4,800527,278.4,0,4.2,0.614,30167.2,383771.8491,23743.5614,-1820.5988,4233.2
centered_candidate_000182_3e76d1c0,centered-gaussian,5,5,0.6,4141.2,4900,151.6,7738.2,3405.2619,27685.8,32910,2111.6,50564,0.6,546.8,35.2,1451.2,279914.4,162551,4727,626257.6,272,0,4.2,0.5095,28487.6,281255.4625,21757.3849,-1551.0309,4141.2
centered_candidate_000083_0257a6ec,centered-gaussian,5,5,0.6,4006,4250,154.6,7725,3371.4061,26834.2,29194,2159.6,50161.4,0.6,533.54,34.4,1409,236379.6,138000,4470.6,530792.6,311.2,0,3.8,0.7095,28631.2,238220.3215,21378.8188,-1531.103,4006
centered_candidate_000039_da811b94,centered-gaussian,5,5,0.6,3999.6,4334,73.2,7769.4,3439.7893,26659.6,29074,1543.8,50599.8,0.6,516.88,33.6,1399.6,306954.6,139821,3087.4,731884.8,270.8,0,4.6,0.6042,32248.8,341501.0155,21944.1331,-1646.6947,3999.6
centered_candidate_000020_b0b653f6,centered-gaussian,5,5,0.6,3971.2,2813,41,8634.8,3849.4771,26484.4,21147,936,55536.2,0.6,498.64,32.2,1400.4,228435.6,69002,1682.4,563549.2,259.4,0,3.8,0.5562,27130.2,267259.008,24331.5799,-1883.7385,3971.2
centered_candidate_000044_c792efd8,centered-gaussian,5,5,0.6,3795.4,3137,53.6,7867.2,3507.7882,25517,22921,1206.6,51158.8,0.6,508,32,1340,276615.2,73972,2302.6,662439,243.4,0,4.4,0.5808,29916,309488.4938,22352.8016,-1700.2941,3795.4
centered_candidate_000101_de412f6a,centered-gaussian,5,5,0.6,3765.4,3534,1396.6,6281.2,2425.2698,25932.8,25013,10818.6,41520,0.6,503.6,36.4,1360.8,157061.6,93595,38269.6,337108.8,371.8,0,5.6,0.728,40380.4,170240.1068,15449.6787,183.9651,3765.4
