candidateId,strategyProfileHash,phaseId,startSeconds,endSeconds,runs,survivalRate,avgScoreGain,avgExpGain,avgLevelGain,avgKills,avgDamageDealt,avgDamageTaken,avgPickupsCollected,avgEnemiesSpawned,phaseFitnessScore
search_candidate_000011_1ec5245d,fnv1a-54f2ae82,0-30,0,30,3,1,181,2.6667,0,2.6667,56.6667,0,2.6667,32,5.3334
search_candidate_000020_05879dac,fnv1a-a0f3475f,0-30,0,30,3,1,180.6667,2.3333,0,2.6667,56.6667,0,2.3333,32,4.9333
search_candidate_000029_f73a716e,fnv1a-f5981e46,0-30,0,30,3,1,180.3333,2.6667,0,2.6667,56.6667,0.4,2.6667,32,4.7334
search_candidate_000010_a0191c22,fnv1a-0876df09,0-30,0,30,3,1,176.6667,2.3333,0,2.3333,53.3333,0,2.3333,32,4.6666
search_candidate_000006_a85c4c4e,fnv1a-f7d1a587,0-30,0,30,3,1,176,2,0,2.3333,53.3333,0,2,32,4.2666
search_candidate_000015_5cf61568,fnv1a-175e81de,0-30,0,30,3,1,176.3333,2,0,2.3333,53.3333,0,2,32,4.2666
search_candidate_000007_7ec2cf34,fnv1a-87e935e7,0-30,0,30,3,1,179.6667,1.6667,0,2.6667,53.3333,0,1.6667,32,4.1334
search_candidate_000004_1d3dc711,fnv1a-af12a67f,0-30,0,30,3,1,180,2.3333,0,2.6667,56.6667,0.6,2.3333,32,4.0333
search_candidate_000002_c906466d,fnv1a-1cb532fb,0-30,0,30,3,1,172,2,0,2,43.3333,0,2,32,4
balanced_default,fnv1a-407f57e7,0-30,0,30,3,1,175.6667,1.6667,0,2.3333,56.6667,0,1.6667,32,3.8667
search_candidate_000018_2a75e07f,fnv1a-69b5713c,0-30,0,30,3,1,179.6667,2.3333,0,2.6667,56.6667,0.8,2.3333,32,3.7333
search_candidate_000009_7993c6ac,fnv1a-4fce7085,0-30,0,30,3,1,175.6667,2,0,2.3333,53.3333,0.4,2,32,3.6666
search_candidate_000016_69307a26,fnv1a-362e59ee,0-30,0,30,3,1,171.6667,1.6667,0,2,46.6667,0,1.6667,32,3.6
search_candidate_000030_eb6aae2f,fnv1a-86f9b811,0-30,0,30,3,1,171.6667,1.6667,0,2,40,0,1.6667,32,3.6
search_candidate_000001_64abc8f5,fnv1a-13d3cf1a,0-30,0,30,3,1,167.6667,1.6667,0,1.6667,33.3333,0,1.6667,32,3.3334
