strategyId,generationMethod,phaseId,startSeconds,endSeconds,baselineFitnessScore,phasedFitnessScore,deltaFitnessScore,baselineSurvivalRate,phasedSurvivalRate,deltaSurvivalRate,baselineAvgScoreGain,phasedAvgScoreGain,deltaAvgScoreGain,baselineAvgExpGain,phasedAvgExpGain,deltaAvgExpGain,baselineAvgKills,phasedAvgKills,deltaAvgKills,baselineAvgDamageTaken,phasedAvgDamageTaken,deltaAvgDamageTaken,improved
searched_top1-phased_d64199cd,top1-phased,0-30,0,30,3.8667,5.3334,1.4667,1,1,0,175.6667,181,5.3333,1.6667,2.6667,1,2.3333,2.6667,0.3334,0,0,0,true
searched_top1-phased_d64199cd,top1-phased,30-60,30,60,151.9467,142.04,-9.9067,1,1,0,364.3333,377.6667,13.3334,13,14.3333,1.3333,17,18.6667,1.6667,3.4,10.6,7.2,false
searched_top5-average-phased_4da20854,top5-average-phased,0-30,0,30,3.8667,5.3334,1.4667,1,1,0,175.6667,181,5.3333,1.6667,2.6667,1,2.3333,2.6667,0.3334,0,0,0,true
searched_top5-average-phased_4da20854,top5-average-phased,30-60,30,60,151.9467,148.8867,-3.06,1,1,0,364.3333,374,9.6667,13,13.6667,0.6667,17,18,1,3.4,6.2,2.8,false
searched_top10-average-phased_260a733b,top10-average-phased,0-30,0,30,3.8667,5.3334,1.4667,1,1,0,175.6667,181,5.3333,1.6667,2.6667,1,2.3333,2.6667,0.3334,0,0,0,true
searched_top10-average-phased_260a733b,top10-average-phased,30-60,30,60,151.9467,137.14,-14.8067,1,1,0,364.3333,368.3333,4,13,16,3,17,18,1,3.4,13.8,10.4,false
searched_top10-median-phased_43b192a2,top10-median-phased,0-30,0,30,3.8667,4.6333,0.7666,1,1,0,175.6667,180.3333,4.6666,1.6667,2.3333,0.6666,2.3333,2.6667,0.3334,0,0.2,0.2,true
searched_top10-median-phased_43b192a2,top10-median-phased,30-60,30,60,151.9467,151.7267,-0.22,1,1,0,364.3333,376,11.6667,13,13.6667,0.6667,17,18,1,3.4,4.6,1.2,false
searched_topN-median-phased_509648ee,topN-median-phased,0-30,0,30,3.8667,5.0334,1.1667,1,1,0,175.6667,180.6667,5,1.6667,2.6667,1,2.3333,2.6667,0.3334,0,0.2,0.2,true
searched_topN-median-phased_509648ee,topN-median-phased,30-60,30,60,151.9467,156.6533,4.7066,1,1,0,364.3333,400,35.6667,13,15.3333,2.3333,17,19.6667,2.6667,3.4,3.6,0.2,true
