phaseId,rank,candidateId,strategyProfileHash,phaseFitnessScore,survivalRate,avgScoreGain,avgExpGain,avgLevelGain,avgKills,avgDamageDealt,avgDamageTaken,avgPickupsCollected,avgEnemiesSpawned
0-30,1,search_candidate_000001_3dcb0ae4,fnv1a-cc1ab11a,5.2,1,184.6667,2.3333,0,3,60,0,2.3333,32
0-30,2,search_candidate_000017_60ca10c5,fnv1a-8da23126,5.0334,1,180.6667,2.6667,0,2.6667,56.6667,0.2,2.6667,32
0-30,3,search_candidate_000022_b8acd643,fnv1a-8447019e,4.9333,1,180.6667,2.3333,0,2.6667,60,0,2.3333,32
0-30,4,search_candidate_000034_758d0c28,fnv1a-9e07b435,4.8,1,184,2,0,3,63.3333,0,2,32
0-30,5,search_candidate_000003_79ebbde3,fnv1a-0b91e9f4,4.5334,1,180,2,0,2.6667,56.6667,0,2,32
30-60,1,search_candidate_000036_b7931094,fnv1a-0a768c25,153.3733,1,384.3333,13.3333,1,18.6667,428.6667,4,13.3333,50
30-60,2,search_candidate_000038_a4bb761d,fnv1a-dbdd75a6,153.2533,1,353.6667,12,1,16,370.6667,1.2,12,50
30-60,3,search_candidate_000010_3bdb8996,fnv1a-3be8015b,147.9333,1,367,14,1,17.3333,370,6,14,50
30-60,4,search_candidate_000012_d8bbd995,fnv1a-68e96998,146.0867,1,355,10.6667,1,16.6667,405.6667,5.2,10.6667,50
30-60,5,search_candidate_000023_8af10d67,fnv1a-3c08a33a,145.88,1,361.6667,14.3333,1,17,393.3333,7.4,14.3333,50
