candidateId,strategyProfileHash,phaseId,startSeconds,endSeconds,runs,survivalRate,avgScoreGain,avgExpGain,avgLevelGain,avgKills,avgDamageDealt,avgDamageTaken,avgPickupsCollected,avgEnemiesSpawned,phaseFitnessScore
balanced_default,fnv1a-407f57e7,0-30,0,30,3,1,175,1.3333,0,2.3333,50,0,1.3333,32,3.4666
centered_candidate_000004_e6a62ce5,fnv1a-d79e1589,0-30,0,30,3,1,175.3333,2,0,2.3333,46.6667,0.6,2,32,3.3666
centered_candidate_000018_cbfd2ef7,fnv1a-c9579173,0-30,0,30,3,1,175,2,0,2.3333,46.6667,0.8,2,32,3.0666
centered_candidate_000001_cfa9d5e6,fnv1a-258be7e4,0-30,0,30,3,1,175,2,0,2.3333,53.3333,1,2,32,2.7666
centered_candidate_000040_24493ed9,fnv1a-5d04d510,0-30,0,30,3,1,174.6667,2,0,2.3333,46.6667,1,2,32,2.7666
centered_candidate_000010_1905dd38,fnv1a-7b78b95d,0-30,0,30,3,1,170.6667,1.6667,0,2,46.6667,0.6,1.6667,32,2.7
centered_candidate_000038_933743cb,fnv1a-4be22918,0-30,0,30,3,1,179,2.3333,0,2.6667,56.6667,1.6,2.3333,32,2.5333
centered_candidate_000006_ec075e3b,fnv1a-1a994252,0-30,0,30,3,1,178.6667,2.3333,0,2.6667,56.6667,1.8,2.3333,32,2.2333
centered_candidate_000007_6bda4af1,fnv1a-99ea9827,0-30,0,30,3,1,178.3333,2,0,2.6667,56.6667,1.6,2,32,2.1334
centered_candidate_000021_0b6d45d3,fnv1a-667c2ea0,0-30,0,30,3,1,174.3333,2,0,2.3333,53.3333,1.6,2,32,1.8666
centered_candidate_000031_c7933155,fnv1a-94563650,0-30,0,30,3,1,174,2,0,2.3333,50,1.8,2,32,1.5666
centered_candidate_000028_c18735ec,fnv1a-1452a1a8,0-30,0,30,3,1,169.6667,1.6667,0,2,46.6667,1.4,1.6667,32,1.5
centered_candidate_000026_77fdcace,fnv1a-1e8d9dc9,0-30,0,30,3,1,173.6667,1.6667,0,2.3333,50,1.6,1.6667,32,1.4667
centered_candidate_000020_441b0b72,fnv1a-67281917,0-30,0,30,3,1,173.6667,2,0,2.3333,50,2,2,32,1.2666
centered_candidate_000024_9eb89baf,fnv1a-e28ee06e,0-30,0,30,3,1,173.6667,2,0,2.3333,53.3333,2,2,32,1.2666
centered_candidate_000011_c5b9442d,fnv1a-9d447ddf,0-30,0,30,3,1,169.6667,1.6667,0,2,43.3333,1.6,1.6667,32,1.2
centered_candidate_000014_17d7cdc0,fnv1a-bea7dc3a,0-30,0,30,3,1,173.6667,2,0,2.3333,53.3333,2.2,2,32,0.9666
centered_candidate_000017_4c61f4b6,fnv1a-caeeb567,0-30,0,30,3,1,173.6667,2,0,2.3333,53.3333,2.2,2,32,0.9666
centered_candidate_000025_61d56e62,fnv1a-60e89562,0-30,0,30,3,1,173.6667,2,0,2.3333,50,2.2,2,32,0.9666
centered_candidate_000033_88253af9,fnv1a-4f4d55b0,0-30,0,30,3,1,173.6667,2,0,2.3333,53.3333,2.2,2,32,0.9666
centered_candidate_000022_0f80325e,fnv1a-daff60fe,0-30,0,30,3,1,169.3333,1.6667,0,2,43.3333,1.8,1.6667,32,0.9
